video,frame,timestamp,x_cm,y_cm,robot_yaw,interpolated
Camo 录像 2026-01-27 04-20-59,0,0.0,61.0,61.0,90.0,0
Camo 录像 2026-01-27 04-20-59,1,0.03333333333333333,61.02398,61.016727,90.00999999999999,0
Camo 录像 2026-01-27 04-20-59,2,0.06666666666666667,61.041016,61.039047,90.13999999999999,0
Camo 录像 2026-01-27 04-20-59,3,0.1,61.050976,61.057278,89.92000000000002,0
Camo 录像 2026-01-27 04-20-59,4,0.13333333333333333,61.068676,61.07363,89.84000000000003,0
Camo 录像 2026-01-27 04-20-59,5,0.16666666666666666,61.081177,61.082,89.94999999999999,0
Camo 录像 2026-01-27 04-20-59,6,0.2,61.067314,61.106163,89.87,0
Camo 录像 2026-01-27 04-20-59,7,0.23333333333333334,61.05387,61.128788,89.69999999999999,0
Camo 录像 2026-01-27 04-20-59,8,0.26666666666666666,61.009182,61.15871,89.60000000000002,0
Camo 录像 2026-01-27 04-20-59,9,0.3,60.96447,61.147846,89.09000000000003,0
Camo 录像 2026-01-27 04-20-59,10,0.3333333333333333,60.890423,61.17942,88.98000000000002,0
Camo 录像 2026-01-27 04-20-59,11,0.36666666666666664,60.81437,61.188522,88.85000000000002,0
Camo 录像 2026-01-27 04-20-59,12,0.4,60.714535,61.19789,88.47000000000003,0
Camo 录像 2026-01-27 04-20-59,13,0.43333333333333335,60.651196,61.185596,88.5,0
Camo 录像 2026-01-27 04-20-59,14,0.4666666666666667,60.58469,61.184395,88.72000000000003,0
Camo 录像 2026-01-27 04-20-59,15,0.5,60.52128,61.19723,89.29000000000002,0
Camo 录像 2026-01-27 04-20-59,16,0.5333333333333333,60.49447,61.188198,89.27999999999997,0
Camo 录像 2026-01-27 04-20-59,17,0.5666666666666667,60.488228,61.18257,89.68,0
Camo 录像 2026-01-27 04-20-59,18,0.6,60.486946,61.189358,90.16000000000003,0
Camo 录像 2026-01-27 04-20-59,19,0.6333333333333333,60.532585,61.185295,91.14999999999998,0
Camo 录像 2026-01-27 04-20-59,20,0.6666666666666666,60.599125,61.18197,92.39999999999998,0
Camo 录像 2026-01-27 04-20-59,21,0.7,60.637123,61.210377,92.96000000000004,0
Camo 录像 2026-01-27 04-20-59,22,0.7333333333333333,60.726418,61.235504,93.80000000000001,0
Camo 录像 2026-01-27 04-20-59,23,0.7666666666666667,60.850727,61.274902,94.97000000000003,0
Camo 录像 2026-01-27 04-20-59,24,0.8,61.002888,61.336216,96.22000000000003,0
Camo 录像 2026-01-27 04-20-59,25,0.8333333333333334,61.19812,61.39365,97.94999999999999,0
Camo 录像 2026-01-27 04-20-59,26,0.8666666666666667,61.397633,61.457623,98.85000000000002,0
Camo 录像 2026-01-27 04-20-59,27,0.9,61.62257,61.53813,99.94,0
Camo 录像 2026-01-27 04-20-59,28,0.9333333333333333,61.844383,61.62448,100.97000000000003,0
Camo 录像 2026-01-27 04-20-59,29,0.9666666666666667,62.06169,61.707798,101.98000000000002,0
Camo 录像 2026-01-27 04-20-59,30,1.0,62.285427,61.800457,102.82999999999998,0
Camo 录像 2026-01-27 04-20-59,31,1.0333333333333334,62.48281,61.906853,104.05000000000001,0
Camo 录像 2026-01-27 04-20-59,32,1.0666666666666667,62.709084,61.962147,103.98000000000002,0
Camo 录像 2026-01-27 04-20-59,33,1.1,62.8684,62.064648,104.12,0
Camo 录像 2026-01-27 04-20-59,34,1.1333333333333333,63.02262,62.146088,103.93,0
Camo 录像 2026-01-27 04-20-59,35,1.1666666666666667,63.132736,62.246124,103.77999999999997,0
Camo 录像 2026-01-27 04-20-59,36,1.2,63.25573,62.317043,103.89999999999998,0
Camo 录像 2026-01-27 04-20-59,37,1.2333333333333334,63.38185,62.38099,103.71000000000004,0
Camo 录像 2026-01-27 04-20-59,38,1.2666666666666666,63.440544,62.457317,103.05000000000001,0
Camo 录像 2026-01-27 04-20-59,39,1.3,63.47001,62.54612,102.61000000000001,0
Camo 录像 2026-01-27 04-20-59,40,1.3333333333333333,63.46984,62.630184,101.51999999999998,0
Camo 录像 2026-01-27 04-20-59,41,1.3666666666666667,63.420723,62.74805,100.49000000000001,0
Camo 录像 2026-01-27 04-20-59,42,1.4,63.33934,62.856823,98.96000000000004,0
Camo 录像 2026-01-27 04-20-59,43,1.4333333333333333,63.271538,62.98068,97.63999999999999,0
Camo 录像 2026-01-27 04-20-59,44,1.4666666666666666,63.133797,63.122047,96.07999999999998,0
Camo 录像 2026-01-27 04-20-59,45,1.5,63.030823,63.253883,94.35000000000002,0
Camo 录像 2026-01-27 04-20-59,46,1.5333333333333334,62.925613,63.3823,93.19999999999999,0
Camo 录像 2026-01-27 04-20-59,47,1.5666666666666667,62.768616,63.536556,91.63,0
Camo 录像 2026-01-27 04-20-59,48,1.6,62.620087,63.688427,89.99000000000001,0
Camo 录像 2026-01-27 04-20-59,49,1.6333333333333333,62.460693,63.83153,88.63999999999999,0
Camo 录像 2026-01-27 04-20-59,50,1.6666666666666667,62.283142,63.979294,87.05000000000001,0
Camo 录像 2026-01-27 04-20-59,51,1.7,62.142162,64.125786,85.85000000000002,0
Camo 录像 2026-01-27 04-20-59,52,1.7333333333333334,61.984383,64.27365,84.72000000000003,0
Camo 录像 2026-01-27 04-20-59,53,1.7666666666666666,61.842785,64.40437,83.5,0
Camo 录像 2026-01-27 04-20-59,54,1.8,61.708855,64.54363,82.44999999999999,0
Camo 录像 2026-01-27 04-20-59,55,1.8333333333333333,61.567444,64.676735,81.46000000000004,0
Camo 录像 2026-01-27 04-20-59,56,1.8666666666666667,61.456062,64.8019,80.73000000000002,0
Camo 录像 2026-01-27 04-20-59,57,1.9,61.302635,64.93014,79.46000000000004,0
Camo 录像 2026-01-27 04-20-59,58,1.9333333333333333,61.18788,65.05054,78.77999999999997,0
Camo 录像 2026-01-27 04-20-59,59,1.9666666666666666,61.07672,65.17283,78.12,0
Camo 录像 2026-01-27 04-20-59,60,2.0,60.969563,65.31186,77.77999999999997,0
Camo 录像 2026-01-27 04-20-59,61,2.033333333333333,60.884464,65.418144,77.67000000000002,0
Camo 录像 2026-01-27 04-20-59,62,2.066666666666667,60.789577,65.53968,77.57,0
Camo 录像 2026-01-27 04-20-59,63,2.1,60.71828,65.67486,77.81,0
Camo 录像 2026-01-27 04-20-59,64,2.1333333333333333,60.65175,65.80649,77.88,0
Camo 录像 2026-01-27 04-20-59,65,2.1666666666666665,60.596165,65.947716,78.19,0
Camo 录像 2026-01-27 04-20-59,66,2.2,60.521767,66.08462,78.48000000000002,0
Camo 录像 2026-01-27 04-20-59,67,2.2333333333333334,60.458702,66.205574,78.75999999999999,0
Camo 录像 2026-01-27 04-20-59,68,2.2666666666666666,60.402775,66.33711,79.18,0
Camo 录像 2026-01-27 04-20-59,69,2.3,60.379696,66.46931,80.16000000000003,0
Camo 录像 2026-01-27 04-20-59,70,2.3333333333333335,60.371967,66.60074,81.06,0
Camo 录像 2026-01-27 04-20-59,71,2.3666666666666667,60.38278,66.73247,82.06,0
Camo 录像 2026-01-27 04-20-59,72,2.4,60.36441,66.8541,82.75999999999999,0
Camo 录像 2026-01-27 04-20-59,73,2.433333333333333,60.404427,66.97738,83.96000000000004,0
Camo 录像 2026-01-27 04-20-59,74,2.466666666666667,60.45186,67.13022,85.0,0
Camo 录像 2026-01-27 04-20-59,75,2.5,60.53351,67.280334,86.51999999999998,0
Camo 录像 2026-01-27 04-20-59,76,2.533333333333333,60.6218,67.437836,87.97000000000003,0
Camo 录像 2026-01-27 04-20-59,77,2.566666666666667,60.74003,67.60112,89.42000000000002,0
Camo 录像 2026-01-27 04-20-59,78,2.6,60.866062,67.768,91.04000000000002,0
Camo 录像 2026-01-27 04-20-59,79,2.6333333333333333,61.002346,67.95735,92.47000000000003,0
Camo 录像 2026-01-27 04-20-59,80,2.6666666666666665,61.1591,68.1225,93.63,0
Camo 录像 2026-01-27 04-20-59,81,2.7,61.32805,68.3117,95.21000000000004,0
Camo 录像 2026-01-27 04-20-59,82,2.7333333333333334,61.523582,68.50025,96.38999999999999,0
Camo 录像 2026-01-27 04-20-59,83,2.7666666666666666,61.69877,68.66808,97.59000000000003,0
Camo 录像 2026-01-27 04-20-59,84,2.8,61.863945,68.82458,98.63999999999999,0
Camo 录像 2026-01-27 04-20-59,85,2.8333333333333335,62.073826,69.012375,99.59000000000003,0
Camo 录像 2026-01-27 04-20-59,86,2.8666666666666667,62.251595,69.18201,100.81,0
Camo 录像 2026-01-27 04-20-59,87,2.9,62.44838,69.34308,101.41000000000003,0
Camo 录像 2026-01-27 04-20-59,88,2.933333333333333,62.63791,69.51181,102.36000000000001,0
Camo 录像 2026-01-27 04-20-59,89,2.966666666666667,62.80323,69.665955,103.0,0
Camo 录像 2026-01-27 04-20-59,90,3.0,62.94799,69.81535,103.57,0
Camo 录像 2026-01-27 04-20-59,91,3.033333333333333,63.104424,69.989624,103.24000000000001,0
Camo 录像 2026-01-27 04-20-59,92,3.066666666666667,63.233116,70.1533,103.44,0
Camo 录像 2026-01-27 04-20-59,93,3.1,63.34703,70.308876,103.26999999999998,0
Camo 录像 2026-01-27 04-20-59,94,3.1333333333333333,63.426865,70.446465,103.09000000000003,0
Camo 录像 2026-01-27 04-20-59,95,3.1666666666666665,63.53222,70.61919,102.88,0
Camo 录像 2026-01-27 04-20-59,96,3.2,63.60022,70.7548,102.64999999999998,0
Camo 录像 2026-01-27 04-20-59,97,3.2333333333333334,63.658516,70.89258,102.44,0
Camo 录像 2026-01-27 04-20-59,98,3.2666666666666666,63.742867,71.0786,101.76999999999998,0
Camo 录像 2026-01-27 04-20-59,99,3.3,63.77735,71.23438,101.05000000000001,0
Camo 录像 2026-01-27 04-20-59,100,3.3333333333333335,63.778046,71.388374,100.06,0
Camo 录像 2026-01-27 04-20-59,101,3.3666666666666667,63.78888,71.55217,99.07,0
Camo 录像 2026-01-27 04-20-59,102,3.4,63.743767,71.68412,98.32999999999998,0
Camo 录像 2026-01-27 04-20-59,103,3.433333333333333,63.812714,71.90795,97.11000000000001,0
Camo 录像 2026-01-27 04-20-59,104,3.466666666666667,63.773903,72.06721,96.13999999999999,0
Camo 录像 2026-01-27 04-20-59,105,3.5,63.690674,72.25714,94.88,0
