# Swimming Robot Data Log
# Amplitude: 10 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:24:58.679103

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
0.5210,3.65,3.14,-0.65,-0.98,-4.48,-4.34,-5.06,-4.48,-1.97,-1.39,129.9
0.5450,4.20,3.67,-0.27,-0.63,-4.54,-4.43,-5.52,-4.97,-2.50,-1.83,129.9
0.5690,4.75,4.15,0.17,-0.28,-4.53,-4.47,-5.95,-5.45,-3.05,-2.31,129.9
0.5930,5.31,4.73,0.66,0.07,-4.47,-4.52,-6.36,-5.89,-3.64,-2.89,129.9
0.6180,5.88,5.30,1.22,0.56,-4.33,-4.52,-6.74,-6.33,-4.26,-3.50,129.9
0.6420,6.42,5.83,1.80,1.13,-4.12,-4.47,-7.06,-6.73,-4.87,-4.12,129.9
0.6660,6.93,6.35,2.42,1.70,-3.85,-4.21,-7.32,-7.08,-5.49,-4.73,129.9
0.6900,7.41,6.88,3.06,2.32,-3.50,-3.95,-7.53,-7.39,-6.09,-5.39,129.9
0.7140,7.84,7.37,3.73,2.93,-3.09,-3.59,-7.67,-7.56,-6.68,-5.97,129.9
0.7380,8.23,7.81,4.40,3.59,-2.61,-3.20,-7.74,-7.74,-7.25,-6.58,129.9
0.7620,8.56,8.20,5.08,4.21,-2.08,-2.80,-7.73,-7.83,-7.78,-7.15,129.9
0.7870,8.83,8.51,5.78,4.91,-1.46,-2.27,-7.64,-7.83,-8.28,-7.73,129.9
0.8110,9.02,8.77,6.43,5.57,-0.82,-1.70,-7.48,-7.78,-8.71,-8.25,129.9
0.8350,9.13,8.95,7.05,6.19,-0.15,-1.04,-7.24,-7.65,-9.08,-8.69,129.9
0.8590,9.17,9.08,7.64,6.81,0.56,-0.38,-6.92,-7.39,-9.38,-9.05,129.9
0.8830,9.12,9.08,8.17,7.47,1.30,0.37,-6.52,-7.08,-9.61,-9.35,129.9
0.9070,8.99,9.08,8.65,8.04,2.04,1.11,-6.05,-6.64,-9.75,-9.57,129.9
0.9310,8.77,8.99,9.06,8.52,2.78,1.86,-5.52,-6.16,-9.82,-9.71,129.9
0.9550,8.48,8.77,9.41,8.92,3.51,2.65,-4.93,-5.58,-9.79,-9.75,129.9
0.9790,8.10,8.51,9.67,9.27,4.22,3.40,-4.28,-4.92,-9.68,-9.75,129.9
1.0030,7.64,8.16,9.84,9.58,4.90,4.11,-3.59,-4.26,-9.48,-9.66,124.6
1.0260,7.16,7.67,9.94,9.75,5.52,4.81,-2.91,-3.65,-9.23,-9.49,124.6
1.0480,6.66,7.15,9.99,9.84,6.08,5.43,-2.24,-2.99,-8.94,-9.27,124.6
1.0710,6.10,6.66,9.99,9.93,6.64,6.00,-1.53,-2.24,-8.59,-8.96,124.6
1.0940,5.52,6.09,9.94,9.93,7.16,6.57,-0.82,-1.58,-8.20,-8.61,124.6
1.1170,4.90,5.47,9.84,9.93,7.64,7.10,-0.09,-0.88,-7.76,-8.25,124.6
1.1400,4.26,4.86,9.69,9.84,8.09,7.58,0.63,-0.08,-7.29,-7.86,124.6
1.1620,3.62,4.24,9.49,9.71,8.48,8.02,1.32,0.62,-6.80,-7.37,124.6
1.1850,2.94,3.63,9.24,9.49,8.84,8.42,2.03,1.37,-6.25,-6.89,124.6
1.2080,2.24,2.97,8.94,9.23,9.15,8.81,2.73,2.07,-5.67,-6.36,124.6
1.2310,1.53,2.26,8.59,8.92,9.42,9.12,3.42,2.73,-5.06,-5.75,124.6
1.2540,0.82,1.56,8.20,8.61,9.64,9.39,4.09,3.39,-4.43,-5.13,124.6
1.2760,0.13,0.81,7.78,8.21,9.80,9.61,4.71,4.05,-3.80,-4.51,124.6
1.2990,-0.60,0.11,7.31,7.86,9.92,9.78,5.33,4.71,-3.12,-3.85,124.6
1.3220,-1.32,-0.51,6.80,7.38,9.98,9.91,5.93,5.33,-2.43,-3.15,124.6
1.3450,-2.03,-1.21,6.25,6.89,10.00,10.00,6.49,5.90,-1.72,-2.45,124.6
1.3680,-2.73,-1.96,5.67,6.32,9.96,10.00,7.03,6.52,-1.00,-1.79,124.6
1.3900,-3.39,-2.67,5.09,5.75,9.88,10.00,7.50,7.09,-0.31,-1.13,124.6
1.4130,-4.06,-3.33,4.46,5.18,9.74,9.96,7.96,7.53,0.41,-0.42,124.6
1.4360,-4.71,-3.99,3.80,4.56,9.55,9.83,8.38,8.01,1.13,0.33,124.6
1.4590,-5.33,-4.60,3.12,3.90,9.31,9.69,8.75,8.41,1.84,1.03,124.6
1.4820,-5.93,-5.22,2.43,3.24,9.02,9.52,9.07,8.80,2.55,1.73,124.6
1.5050,-6.49,-5.79,1.72,2.58,8.69,9.25,9.35,9.11,3.24,2.44,124.6
1.5280,-7.03,-6.41,1.00,1.92,8.31,8.90,9.59,9.42,3.91,3.14,124.6
1.5510,-7.52,-6.93,0.28,1.17,7.88,8.51,9.77,9.64,4.57,3.85,124.6
1.5740,-7.98,-7.42,-0.44,0.47,7.42,8.11,9.90,9.82,5.20,4.51,124.6
1.5970,-8.39,-7.90,-1.16,-0.23,6.91,7.63,9.97,9.95,5.80,5.12,124.6
1.6200,-8.76,-8.30,-1.87,-0.98,6.37,7.19,10.00,9.99,6.37,5.74,124.6
1.6430,-9.09,-8.69,-2.58,-1.69,5.80,6.66,9.97,10.04,6.91,6.31,124.6
1.6660,-9.37,-8.96,-3.27,-2.39,5.20,6.04,9.90,10.04,7.42,6.93,124.6
1.6900,-9.60,-9.27,-3.97,-3.14,4.54,5.43,9.76,9.99,7.90,7.41,124.6
1.7130,-9.78,-9.49,-4.62,-3.80,3.88,4.72,9.58,9.86,8.32,7.85,124.6
1.7360,-9.90,-9.71,-5.25,-4.46,3.21,4.06,9.34,9.68,8.70,8.33,124.6
1.7590,-9.98,-9.79,-5.85,-5.07,2.52,3.40,9.06,9.42,9.03,8.69,124.6
1.7820,-10.00,-9.88,-6.42,-5.69,1.81,2.70,8.73,9.16,9.32,8.99,124.6
1.8050,-9.97,-9.88,-6.96,-6.26,1.10,1.99,8.36,8.80,9.56,9.26,124.6
1.8280,-9.89,-9.88,-7.46,-6.79,0.38,1.25,7.94,8.45,9.75,9.48,124.6
1.8510,-9.75,-9.84,-7.92,-7.27,-0.35,0.50,7.48,8.01,9.88,9.70,124.6
1.8740,-9.57,-9.71,-8.34,-7.76,-1.07,-0.21,6.98,7.57,9.97,9.83,124.6
1.8970,-9.33,-9.49,-8.72,-8.20,-1.78,-0.95,6.45,7.04,10.00,9.92,124.6
1.9200,-9.05,-9.31,-9.05,-8.59,-2.49,-1.66,5.88,6.47,9.98,9.96,124.6
1.9440,-8.70,-9.00,-9.34,-8.95,-3.21,-2.41,5.25,5.90,9.90,9.96,124.6
1.9670,-8.32,-8.69,-9.58,-9.25,-3.88,-3.11,4.62,5.28,9.78,9.92,124.6
1.9900,-7.90,-8.30,-9.76,-9.47,-4.54,-3.81,3.97,4.67,9.60,9.83,124.6
2.0130,-7.44,-7.90,-9.89,-9.65,-5.17,-4.47,3.30,4.05,9.38,9.65,130.5
2.0370,-6.91,-7.42,-9.97,-9.78,-5.80,-5.09,2.58,3.35,9.09,9.39,130.5
2.0600,-6.37,-6.93,-10.00,-9.87,-6.37,-5.71,1.87,2.60,8.76,9.13,130.5
2.0830,-5.80,-6.41,-9.97,-9.91,-6.91,-6.28,1.16,1.94,8.39,8.86,130.5
2.1060,-5.20,-5.79,-9.90,-9.91,-7.42,-6.85,0.44,1.24,7.98,8.47,130.5
2.1300,-4.54,-5.17,-9.76,-9.87,-7.90,-7.33,-0.31,0.49,7.50,8.07,130.5
2.1530,-3.88,-4.51,-9.58,-9.74,-8.32,-7.82,-1.04,-0.26,7.00,7.67,130.5
2.1760,-3.21,-3.85,-9.34,-9.52,-8.70,-8.26,-1.75,-1.01,6.47,7.15,130.5
2.2000,-2.49,-3.15,-9.05,-9.30,-9.05,-8.61,-2.49,-1.76,5.88,6.62,130.5
2.2230,-1.78,-2.49,-8.72,-8.99,-9.33,-9.01,-3.18,-2.50,5.28,5.96,130.5
2.2470,-1.03,-1.74,-8.32,-8.68,-9.58,-9.23,-3.89,-3.16,4.62,5.39,130.5
2.2700,-0.31,-1.04,-7.90,-8.33,-9.76,-9.45,-4.54,-3.78,3.97,4.77,130.5
2.2930,0.41,-0.33,-7.44,-7.93,-9.89,-9.67,-5.17,-4.44,3.30,4.11,130.5
2.3170,1.16,0.41,-6.91,-7.45,-9.97,-9.80,-5.80,-5.06,2.58,3.49,130.5
2.3400,1.87,1.16,-6.37,-6.97,-10.00,-9.89,-6.37,-5.67,1.87,2.79,130.5
2.3630,2.58,1.87,-5.80,-6.39,-9.97,-9.89,-6.91,-6.20,1.16,2.09,130.5
2.3860,3.27,2.57,-5.20,-5.82,-9.90,-9.89,-7.42,-6.82,0.44,1.34,130.5
2.4100,3.97,3.23,-4.54,-5.16,-9.76,-9.84,-7.90,-7.34,-0.31,0.59,130.5
2.4330,4.62,3.93,-3.88,-4.55,-9.58,-9.75,-8.32,-7.87,-1.04,-0.20,130.5
2.4560,5.25,4.64,-3.21,-3.97,-9.34,-9.58,-8.70,-8.27,-1.75,-0.91,130.5
2.4800,5.88,5.25,-2.49,-3.27,-9.05,-9.40,-9.05,-8.71,-2.49,-1.65,130.5
2.5030,6.45,5.87,-1.78,-2.61,-8.72,-9.05,-9.33,-9.06,-3.18,-2.31,130.5
2.5270,7.00,6.40,-1.03,-1.86,-8.32,-8.70,-9.58,-9.37,-3.89,-3.06,130.5
2.5500,7.50,6.93,-0.31,-1.11,-7.90,-8.35,-9.76,-9.59,-4.54,-3.72,130.5
2.5740,7.98,7.45,0.44,-0.41,-7.42,-7.95,-9.90,-9.76,-5.20,-4.43,130.5
2.5970,8.39,7.94,1.16,0.25,-6.91,-7.47,-9.97,-9.94,-5.80,-5.09,130.5
2.6200,8.76,8.38,1.87,1.09,-6.37,-6.94,-10.00,-9.98,-6.37,-5.66,130.5
2.6430,9.09,8.77,2.58,1.75,-5.80,-6.45,-9.97,-9.98,-6.91,-6.23,130.5
2.6670,9.38,9.08,3.30,2.45,-5.17,-5.88,-9.89,-10.03,-7.44,-6.80,130.5
2.6900,9.60,9.39,3.97,3.15,-4.54,-5.31,-9.76,-9.98,-7.90,-7.37,130.5
2.7130,9.78,9.61,4.62,3.81,-3.88,-4.74,-9.58,-9.85,-8.32,-7.81,130.5
2.7360,9.90,9.74,5.25,4.43,-3.21,-4.08,-9.34,-9.68,-8.70,-8.25,130.5
2.7600,9.98,9.87,5.88,5.09,-2.49,-3.42,-9.05,-9.46,-9.05,-8.65,130.5
2.7830,10.00,9.92,6.45,5.71,-1.78,-2.71,-8.72,-9.19,-9.33,-8.96,130.5
2.8070,9.96,9.96,7.00,6.28,-1.03,-1.97,-8.32,-8.84,-9.58,-9.31,130.5
2.8300,9.88,9.96,7.50,6.85,-0.31,-1.22,-7.90,-8.49,-9.76,-9.53,130.5
2.8530,9.74,9.87,7.96,7.33,0.41,-0.47,-7.44,-8.05,-9.89,-9.71,130.5
2.8760,9.55,9.74,8.38,7.82,1.13,0.23,-6.94,-7.56,-9.97,-9.84,130.5
2.9000,9.30,9.57,8.76,8.21,1.87,0.94,-6.37,-7.04,-10.00,-9.88,130.5
2.9230,9.01,9.35,9.09,8.61,2.58,1.69,-5.80,-6.42,-9.97,-9.93,130.5
2.9460,8.67,8.99,9.37,8.96,3.27,2.39,-5.20,-5.85,-9.90,-9.93,130.5
2.9690,8.29,8.69,9.59,9.27,3.94,3.14,-4.57,-5.23,-9.77,-9.88,130.5
2.9920,7.86,8.29,9.77,9.49,4.60,3.84,-3.91,-4.57,-9.59,-9.75,130.5
3.0160,7.38,7.89,9.90,9.67,5.25,4.50,-3.21,-3.91,-9.34,-9.62,128.7
3.0390,6.87,7.37,9.98,9.80,5.85,5.16,-2.52,-3.25,-9.06,-9.35,128.7
3.0620,6.33,6.84,10.00,9.89,6.42,5.78,-1.81,-2.55,-8.73,-9.05,128.7
3.0850,5.75,6.31,9.97,9.93,6.96,6.39,-1.10,-1.84,-8.36,-8.74,128.7
3.1080,5.14,5.69,9.89,9.93,7.46,6.92,-0.38,-1.14,-7.94,-8.39,128.7
3.1310,4.51,5.12,9.75,9.89,7.92,7.41,0.35,-0.30,-7.48,-7.99,128.7
3.1540,3.86,4.46,9.57,9.75,8.34,7.89,1.07,0.44,-6.98,-7.55,128.7
3.1780,3.15,3.80,9.32,9.58,8.73,8.33,1.81,1.10,-6.42,-7.07,128.7
3.2010,2.46,3.14,9.03,9.31,9.06,8.68,2.52,1.85,-5.85,-6.49,128.7
3.2240,1.75,2.44,8.70,9.05,9.34,9.03,3.21,2.56,-5.25,-5.92,128.7
3.2480,1.00,1.73,8.31,8.70,9.59,9.30,3.91,3.26,-4.60,-5.31,128.7
3.2710,0.28,1.03,7.88,8.30,9.77,9.56,4.57,3.92,-3.94,-4.65,128.7
3.2940,-0.44,0.28,7.42,7.91,9.90,9.78,5.20,4.58,-3.27,-3.99,128.7
3.3170,-1.16,-0.42,6.91,7.51,9.97,9.91,5.80,5.20,-2.58,-3.33,128.7
3.3400,-1.87,-1.13,6.37,6.98,10.00,10.00,6.37,5.81,-1.87,-2.62,128.7
3.3630,-2.58,-1.83,5.80,6.45,9.97,10.00,6.91,6.38,-1.16,-1.96,128.7
3.3860,-3.27,-2.53,5.20,5.88,9.90,10.00,7.42,6.96,-0.44,-1.26,128.7
3.4100,-3.97,-3.24,4.54,5.27,9.76,9.96,7.90,7.44,0.31,-0.51,128.7
3.4330,-4.62,-3.90,3.88,4.61,9.58,9.87,8.32,7.97,1.04,0.24,128.7
3.4560,-5.25,-4.51,3.21,3.99,9.34,9.69,8.70,8.36,1.75,0.99,128.7
3.4790,-5.85,-5.13,2.52,3.33,9.06,9.52,9.03,8.76,2.46,1.65,128.7
3.5020,-6.42,-5.70,1.81,2.67,8.73,9.25,9.32,9.07,3.15,2.39,128.7
3.5250,-6.96,-6.32,1.10,2.01,8.36,8.90,9.56,9.38,3.83,3.10,128.7
3.5480,-7.46,-6.89,0.38,1.26,7.94,8.59,9.75,9.60,4.48,3.80,128.7
3.5710,-7.92,-7.37,-0.35,0.60,7.48,8.20,9.88,9.77,5.12,4.46,128.7
3.5940,-8.34,-7.81,-1.07,-0.19,6.98,7.71,9.97,9.95,5.72,5.08,128.7
3.6180,-8.73,-8.30,-1.81,-0.89,6.42,7.23,10.00,9.99,6.33,5.69,128.7
3.6410,-9.06,-8.65,-2.52,-1.64,5.85,6.70,9.98,10.04,6.87,6.27,128.7
3.6640,-9.34,-8.96,-3.21,-2.35,5.25,6.13,9.90,10.04,7.38,6.88,128.7
3.6870,-9.58,-9.22,-3.88,-3.01,4.62,5.51,9.78,9.99,7.84,7.37,128.7
3.7100,-9.76,-9.44,-4.54,-3.71,3.97,4.90,9.60,9.90,8.27,7.85,128.7
3.7340,-9.90,-9.62,-5.20,-4.37,3.27,4.19,9.37,9.73,8.67,8.25,128.7
3.7570,-9.97,-9.75,-5.80,-4.99,2.58,3.49,9.09,9.51,9.01,8.69,128.7
3.7800,-10.00,-9.84,-6.37,-5.60,1.87,2.79,8.76,9.20,9.30,8.99,128.7
3.8040,-9.97,-9.88,-6.94,-6.17,1.13,2.08,8.38,8.85,9.55,9.26,128.7
3.8270,-9.89,-9.88,-7.44,-6.75,0.41,1.33,7.96,8.50,9.74,9.52,128.7
3.8500,-9.76,-9.79,-7.90,-7.23,-0.31,0.59,7.50,8.06,9.88,9.70,128.7
3.8730,-9.58,-9.71,-8.32,-7.71,-1.04,-0.16,7.00,7.57,9.96,9.83,128.7
3.8970,-9.33,-9.53,-8.72,-8.15,-1.78,-0.91,6.45,7.09,10.00,9.92,128.7
3.9200,-9.05,-9.27,-9.05,-8.59,-2.49,-1.66,5.88,6.47,9.98,9.96,128.7
3.9430,-8.72,-9.00,-9.33,-8.95,-3.18,-2.41,5.28,5.90,9.91,9.96,128.7
3.9670,-8.32,-8.69,-9.58,-9.25,-3.88,-3.11,4.62,5.28,9.78,9.92,128.7
3.9900,-7.90,-8.34,-9.76,-9.52,-4.54,-3.81,3.97,4.67,9.60,9.83,128.7
