# Swimming Robot Data Log
# Amplitude: 10 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:24:58.679103

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
0.0130,-0.00,0.02,-0.00,-0.01,-0.00,0.01,0.00,0.05,0.00,0.02,129.9
0.0370,-0.03,0.02,-0.04,-0.01,-0.02,0.01,0.01,0.05,0.04,0.02,129.9
0.0610,-0.07,-0.03,-0.11,-0.06,-0.07,0.01,0.02,0.05,0.09,0.02,129.9
0.0850,-0.12,-0.07,-0.20,-0.10,-0.14,-0.03,0.02,0.05,0.17,0.06,129.9
0.1090,-0.17,-0.11,-0.33,-0.19,-0.25,-0.07,0.01,0.05,0.26,0.11,129.9
0.1330,-0.22,-0.16,-0.47,-0.32,-0.38,-0.21,-0.02,0.05,0.36,0.24,129.9
0.1580,-0.25,-0.20,-0.64,-0.50,-0.56,-0.34,-0.08,0.05,0.46,0.33,129.9
0.1820,-0.26,-0.25,-0.81,-0.63,-0.77,-0.51,-0.17,-0.04,0.55,0.37,129.9
0.2060,-0.25,-0.25,-0.98,-0.81,-1.00,-0.73,-0.29,-0.13,0.63,0.50,129.9
0.2310,-0.21,-0.25,-1.16,-0.98,-1.28,-0.95,-0.46,-0.26,0.69,0.59,129.9
0.2550,-0.13,-0.20,-1.32,-1.16,-1.56,-1.22,-0.67,-0.44,0.71,0.63,129.9
0.2790,-0.01,-0.11,-1.47,-1.33,-1.87,-1.53,-0.91,-0.61,0.71,0.68,129.9
0.3040,0.17,0.02,-1.59,-1.42,-2.20,-1.83,-1.21,-0.92,0.66,0.68,129.9
0.3280,0.38,0.15,-1.68,-1.55,-2.52,-2.10,-1.53,-1.18,0.57,0.63,129.9
0.3520,0.64,0.37,-1.73,-1.60,-2.84,-2.41,-1.89,-1.49,0.43,0.55,129.9
0.3760,0.94,0.63,-1.74,-1.64,-3.16,-2.71,-2.29,-1.84,0.24,0.46,129.9
0.4000,1.30,0.94,-1.70,-1.64,-3.46,-3.02,-2.71,-2.24,-0.00,0.24,129.9
0.4240,1.69,1.34,-1.60,-1.64,-3.73,-3.33,-3.16,-2.68,-0.29,0.02,129.9
0.4480,2.13,1.69,-1.46,-1.60,-3.98,-3.59,-3.62,-3.12,-0.63,-0.29,129.9
0.4720,2.60,2.17,-1.25,-1.47,-4.19,-3.86,-4.09,-3.56,-1.03,-0.64,129.9
0.4970,3.12,2.66,-0.97,-1.25,-4.36,-4.12,-4.59,-4.00,-1.49,-0.99,129.9
