# Swimming Robot Data Log
# Amplitude: 40 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:23:25.582646

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
0.9150,35.71,36.36,35.19,33.16,9.15,6.04,-23.53,-25.47,-39.14,-38.48,0.0
0.9390,34.74,35.70,36.75,35.01,12.11,9.03,-21.31,-23.54,-39.27,-39.01,0.0
0.9640,33.37,34.73,38.05,36.68,15.13,11.98,-18.76,-21.29,-39.05,-39.14,0.0
0.9870,31.82,33.33,38.93,37.96,17.81,15.02,-16.22,-18.83,-38.50,-39.01,0.0
1.0110,29.92,31.70,39.53,38.84,20.47,17.70,-13.43,-16.23,-37.59,-38.48,123.4
1.0340,27.93,30.03,39.87,39.50,22.90,20.25,-10.68,-13.50,-36.51,-37.65,123.4
1.0570,25.79,28.00,40.00,39.81,25.21,22.72,-7.86,-10.78,-35.23,-36.63,123.4
1.0800,23.51,25.85,39.92,39.98,27.38,25.09,-5.01,-7.96,-33.77,-35.40,123.4
1.1030,21.11,23.65,39.64,39.94,29.42,27.25,-2.13,-5.10,-32.14,-33.95,123.4
1.1260,18.61,21.09,39.14,39.67,31.30,29.36,0.75,-2.24,-30.33,-32.32,123.4
1.1500,15.89,18.59,38.41,39.19,33.08,31.25,3.77,0.62,-28.28,-30.52,123.4
1.1730,13.19,15.99,37.51,38.49,34.62,32.97,6.63,3.48,-26.17,-28.54,123.4
1.1960,10.43,13.31,36.40,37.56,35.98,34.51,9.46,6.34,-23.92,-26.47,123.4
1.2190,7.62,10.58,35.11,36.51,37.14,35.87,12.24,9.16,-21.54,-24.18,123.4
1.2420,4.76,7.76,33.64,35.27,38.12,37.06,14.96,11.97,-19.05,-21.94,123.4
1.2650,1.88,4.90,31.99,33.78,38.89,38.12,17.60,14.79,-16.46,-19.43,123.4
1.2880,-1.01,2.04,30.17,32.11,39.47,38.91,20.15,17.38,-13.78,-16.83,123.4
1.3110,-3.89,-0.86,28.19,30.35,39.83,39.53,22.59,19.98,-11.04,-14.24,123.4
1.3340,-6.75,-3.72,26.07,28.45,39.99,39.92,24.91,22.53,-8.23,-11.51,123.4
1.3570,-9.58,-6.58,23.81,26.34,39.94,40.05,27.11,24.82,-5.39,-8.69,123.4
1.3800,-12.36,-9.35,21.43,24.05,39.68,40.05,29.16,27.06,-2.51,-5.83,123.4
1.4030,-15.08,-12.17,18.94,21.63,39.22,39.88,31.06,29.09,0.38,-2.89,123.4
1.4260,-17.71,-14.94,16.35,19.17,38.55,39.39,32.80,31.16,3.26,0.02,123.4
1.4490,-20.25,-17.54,13.67,16.62,37.68,38.87,34.37,32.87,6.13,3.01,123.4
1.4720,-22.69,-20.05,10.92,13.98,36.61,38.07,35.75,34.50,8.97,5.74,123.4
1.4950,-25.01,-22.47,8.11,11.34,35.35,37.06,36.96,35.95,11.76,8.60,123.4
1.5180,-27.20,-24.80,5.26,8.61,33.91,35.83,37.96,37.14,14.49,11.41,123.4
1.5410,-29.24,-27.04,2.39,5.79,32.29,34.38,38.77,38.15,17.15,14.14,123.4
1.5640,-31.14,-28.93,-0.50,2.89,30.50,32.79,39.38,38.90,19.71,16.91,123.4
1.5870,-32.87,-30.87,-3.39,-0.06,28.55,31.08,39.79,39.47,22.17,19.51,123.4
1.6100,-34.43,-32.67,-6.26,-2.96,26.45,29.14,39.98,39.87,24.52,21.93,123.4
1.6330,-35.81,-34.26,-9.09,-5.82,24.22,26.94,39.97,40.00,26.73,24.26,123.4
1.6560,-37.00,-35.67,-11.88,-8.64,21.86,24.74,39.74,40.00,28.81,26.51,123.4
1.6790,-38.00,-36.94,-14.61,-11.54,19.38,22.15,39.31,39.82,30.74,28.57,123.4
1.7020,-38.81,-37.87,-17.26,-14.27,16.80,19.68,38.68,39.43,32.51,30.51,123.4
1.7250,-39.40,-38.66,-19.82,-16.95,14.14,17.09,37.84,38.81,34.11,32.31,123.4
1.7480,-39.80,-39.27,-22.28,-19.55,11.40,14.40,36.81,37.93,35.53,33.99,123.4
1.7720,-39.99,-39.63,-24.71,-22.01,8.48,11.72,35.53,36.88,36.81,35.44,123.4
1.7950,-39.96,-39.85,-26.92,-24.52,5.64,8.81,34.11,35.60,37.84,36.67,123.4
1.8180,-39.72,-39.85,-28.99,-26.72,2.76,6.04,32.51,34.24,38.68,37.77,123.4
1.8410,-39.27,-39.63,-30.90,-28.79,-0.13,3.05,30.74,32.65,39.32,38.61,123.4
1.8640,-38.62,-39.19,-32.65,-30.68,-3.01,0.15,28.81,30.85,39.74,39.31,123.4
1.8880,-37.72,-38.48,-34.30,-32.44,-6.01,-2.71,26.64,28.91,39.97,39.71,123.4
1.9110,-36.66,-37.65,-35.70,-34.07,-8.85,-5.75,24.42,26.89,39.98,39.97,123.4
1.9340,-35.41,-36.59,-36.91,-35.52,-11.64,-8.57,22.07,24.56,39.77,39.97,123.4
1.9580,-33.91,-35.36,-37.96,-36.80,-14.49,-11.34,19.49,22.14,39.34,39.84,123.4
1.9810,-32.29,-33.86,-38.77,-37.85,-17.15,-14.24,16.92,19.58,38.71,39.44,123.4
2.0050,-30.42,-32.23,-39.40,-38.65,-19.82,-16.88,14.14,17.03,37.84,38.83,130.0
2.0280,-28.46,-30.39,-39.80,-39.26,-22.28,-19.52,11.40,14.35,36.81,38.03,130.0
2.0510,-26.36,-28.49,-39.98,-39.66,-24.62,-22.07,8.60,11.66,35.58,36.98,130.0
2.0740,-24.12,-26.38,-39.96,-39.88,-26.83,-24.45,5.76,8.80,34.17,35.75,130.0
2.0980,-21.64,-24.14,-39.72,-39.88,-28.99,-26.61,2.76,5.94,32.51,34.38,130.0
2.1210,-19.16,-21.67,-39.27,-39.66,-30.90,-28.81,-0.13,3.04,30.74,32.71,130.0
2.1440,-16.57,-19.21,-38.62,-39.22,-32.65,-30.74,-3.01,0.09,28.81,30.99,130.0
2.1680,-13.79,-16.53,-37.72,-38.65,-34.30,-32.46,-6.01,-2.86,26.64,28.97,130.0
2.1920,-10.92,-13.71,-36.61,-37.77,-35.75,-34.17,-8.97,-5.89,24.32,26.95,130.0
2.2150,-8.11,-11.03,-35.35,-36.75,-36.96,-35.63,-11.76,-8.75,21.96,24.57,130.0
2.2390,-5.14,-8.17,-33.84,-35.43,-38.00,-36.95,-14.61,-11.66,19.38,22.11,130.0
2.2630,-2.14,-5.17,-32.14,-33.89,-38.84,-38.00,-17.37,-14.47,16.69,19.73,130.0
2.2860,0.75,-2.27,-30.33,-32.31,-39.43,-38.84,-19.93,-17.16,14.02,17.00,130.0
2.3100,3.76,0.77,-28.28,-30.42,-39.82,-39.45,-22.48,-19.93,11.16,14.32,130.0
2.3330,6.63,3.63,-26.17,-28.53,-39.99,-39.89,-24.81,-22.39,8.36,11.59,130.0
2.3560,9.46,6.49,-23.92,-26.41,-39.95,-40.03,-27.01,-24.86,5.51,8.73,130.0
2.3800,12.36,9.43,-21.43,-24.13,-39.68,-39.98,-29.16,-27.06,2.51,5.83,130.0
2.4030,15.08,12.29,-18.94,-21.71,-39.22,-39.85,-31.06,-29.21,-0.38,2.79,130.0
2.4270,17.82,15.07,-16.23,-19.11,-38.52,-39.41,-32.87,-31.15,-3.39,-0.11,130.0
2.4500,20.36,17.71,-13.55,-16.65,-37.63,-38.79,-34.43,-32.95,-6.26,-3.06,130.0
2.4740,22.90,20.30,-10.68,-13.87,-36.51,-37.91,-35.87,-34.49,-9.22,-5.92,130.0
2.4980,25.30,22.77,-7.74,-11.10,-35.17,-36.81,-37.10,-35.94,-12.12,-8.87,130.0
2.5210,27.47,25.14,-4.89,-8.24,-33.71,-35.58,-38.08,-37.18,-14.84,-11.73,130.0
2.5450,29.59,27.30,-1.88,-5.34,-31.99,-34.04,-38.90,-38.23,-17.60,-14.59,130.0
2.5680,31.45,29.50,1.01,-2.35,-30.17,-32.33,-39.47,-39.02,-20.15,-17.23,130.0
2.5920,33.22,31.30,4.01,0.65,-28.11,-30.48,-39.85,-39.60,-22.69,-19.91,130.0
2.6150,34.75,33.11,6.88,3.64,-25.98,-28.50,-40.00,-39.95,-25.01,-22.33,130.0
2.6390,36.14,34.69,9.83,6.63,-23.61,-26.25,-39.93,-40.04,-27.29,-24.75,130.0
2.6630,37.33,36.05,12.72,9.45,-21.11,-23.88,-39.64,-39.99,-29.42,-27.04,130.0
2.6860,38.27,37.24,15.42,12.39,-18.61,-21.41,-39.14,-39.73,-31.30,-29.11,130.0
2.7090,39.01,38.17,18.05,15.17,-16.00,-18.86,-38.45,-39.29,-33.01,-31.00,130.0
2.7330,39.56,38.91,20.69,17.89,-13.19,-16.22,-37.51,-38.54,-34.62,-32.81,130.0
2.7560,39.89,39.49,23.10,20.45,-10.43,-13.54,-36.40,-37.62,-35.98,-34.39,130.0
2.7790,40.00,39.84,25.40,22.87,-7.62,-10.81,-35.11,-36.47,-37.15,-35.75,130.0
2.8030,39.90,39.88,27.66,25.29,-4.64,-7.95,-33.57,-35.20,-38.16,-36.94,130.0
2.8260,39.58,39.84,29.67,27.44,-1.76,-5.00,-31.91,-33.74,-38.92,-37.95,130.0
2.8490,39.06,39.57,31.53,29.42,1.13,-2.14,-30.09,-32.12,-39.49,-38.79,130.0
2.8720,38.34,39.09,33.22,31.23,4.02,0.76,-28.11,-30.36,-39.85,-39.36,130.0
2.8950,37.42,38.30,34.75,32.94,6.88,3.62,-25.98,-28.24,-40.00,-39.76,130.0
2.9190,36.25,37.37,36.14,34.57,9.83,6.53,-23.61,-26.13,-39.93,-39.89,130.0
2.9420,34.93,36.27,37.28,35.98,12.60,9.47,-21.22,-23.80,-39.65,-39.89,130.0
2.9650,33.43,34.95,38.23,37.12,15.31,12.33,-18.72,-21.42,-39.17,-39.67,130.0
2.9880,31.76,33.46,38.98,38.09,17.94,15.06,-16.12,-18.96,-38.48,-39.27,130.0
3.0120,29.84,31.70,39.55,38.88,20.58,17.66,-13.31,-16.23,-37.55,-38.48,128.0
3.0350,27.84,29.89,39.88,39.45,23.00,20.30,-10.55,-13.46,-36.46,-37.69,128.0
3.0580,25.69,27.87,40.00,39.81,25.30,22.72,-7.74,-10.82,-35.17,-36.63,128.0
3.0810,23.41,25.80,39.91,39.94,27.47,25.23,-4.89,-8.09,-33.70,-35.40,128.0
3.1040,21.01,23.51,39.62,39.89,29.50,27.34,-2.01,-5.19,-32.06,-33.95,128.0
3.1270,18.49,21.09,39.12,39.67,31.37,29.36,0.88,-2.15,-30.25,-32.32,128.0
3.1510,15.77,18.59,38.38,39.19,33.15,31.21,3.89,0.75,-28.19,-30.52,128.0
3.1740,13.08,15.81,37.46,38.44,34.68,33.01,6.75,3.61,-26.07,-28.54,128.0
3.1970,10.31,13.17,36.35,37.61,36.03,34.60,9.58,6.52,-23.81,-26.38,128.0
3.2200,7.50,10.53,35.05,36.51,37.19,35.96,12.36,9.29,-21.43,-24.14,128.0
3.2440,4.51,7.72,33.50,35.27,38.19,37.24,15.19,12.19,-18.83,-21.76,128.0
3.2660,1.76,4.77,31.91,33.82,38.92,38.25,17.71,14.92,-16.34,-19.25,128.0
3.2890,-1.13,1.95,30.09,32.33,39.49,39.00,20.25,17.69,-13.67,-16.66,128.0
3.3130,-4.14,-0.86,28.02,30.61,39.86,39.57,22.79,20.24,-10.80,-14.02,128.0
3.3360,-7.00,-3.68,25.88,28.63,40.00,40.01,25.11,22.80,-7.99,-11.25,128.0
3.3590,-9.83,-6.63,23.61,26.52,39.93,40.19,27.29,25.22,-5.14,-8.34,128.0
3.3820,-12.60,-9.22,21.22,24.36,39.65,40.19,29.33,27.37,-2.26,-5.39,128.0
3.4050,-15.31,-11.99,18.72,22.07,39.17,40.19,31.22,29.44,0.63,-2.40,128.0
3.4290,-18.05,-14.68,16.00,19.74,38.45,40.01,33.01,31.46,3.64,0.37,128.0
3.4520,-20.58,-17.32,13.31,17.37,37.55,39.61,34.56,33.27,6.51,3.27,128.0
3.4750,-23.00,-19.69,10.55,14.68,36.46,39.00,35.92,34.85,9.34,6.13,128.0
3.4980,-25.30,-22.03,7.74,12.17,35.17,38.03,37.10,36.26,12.12,8.95,128.0
3.5210,-27.47,-24.27,4.89,9.58,33.71,36.97,38.08,37.40,14.84,11.81,128.0
3.5440,-29.50,-26.29,2.01,7.03,32.06,35.61,38.87,38.46,17.49,14.49,128.0
3.5670,-31.37,-28.19,-0.88,4.56,30.25,34.25,39.45,39.43,20.04,17.18,128.0
3.5900,-33.08,-30.12,-3.76,2.01,28.28,32.66,39.82,40.00,22.48,19.77,128.0
3.6130,-34.62,-31.93,-6.63,-0.32,26.17,30.95,39.99,40.31,24.81,22.28,128.0
3.6360,-35.98,-33.55,-9.46,-2.70,23.92,29.10,39.95,40.48,27.01,24.66,128.0
3.6590,-37.14,-35.05,-12.24,-5.07,21.54,27.16,39.70,40.48,29.07,26.95,128.0
3.6830,-38.16,-36.19,-15.08,-7.54,18.94,25.01,39.22,40.48,31.06,28.93,128.0
3.7060,-38.92,-37.12,-17.71,-10.13,16.35,22.67,38.55,40.44,32.80,30.91,128.0
3.7290,-39.49,-37.95,-20.25,-13.17,13.67,20.12,37.68,40.09,34.37,32.75,128.0
3.7520,-39.85,-38.61,-22.69,-16.03,10.92,17.48,36.61,39.21,35.75,34.34,128.0
3.7750,-40.00,-39.01,-25.01,-19.15,8.11,14.67,35.35,38.02,36.96,35.75,128.0
3.7990,-39.93,-39.14,-27.29,-22.32,5.14,11.81,33.84,36.83,38.00,36.98,128.0
3.8220,-39.65,-39.14,-29.33,-25.62,2.26,8.68,32.21,35.20,38.81,38.03,128.0
3.8460,-39.14,-39.19,-31.30,-28.22,-0.75,5.29,30.33,33.40,39.43,38.91,128.0
3.8690,-38.45,-39.01,-33.01,-30.37,-3.64,1.82,28.37,31.51,39.81,39.53,128.0
3.8920,-37.55,-38.39,-34.56,-32.44,-6.51,-1.88,26.26,29.35,39.99,39.93,128.0
3.9150,-36.46,-37.47,-35.92,-34.11,-9.34,-5.53,24.02,27.11,39.96,40.10,128.0
3.9390,-35.11,-36.37,-37.14,-35.61,-12.24,-8.74,21.54,24.64,39.70,40.06,128.0
3.9620,-33.64,-35.09,-38.12,-36.89,-14.96,-11.78,19.05,21.92,39.24,39.88,128.0
3.9850,-31.99,-33.60,-38.89,-37.90,-17.60,-14.55,16.46,19.45,38.58,39.49,128.0
