# Swimming Robot Data Log
# Amplitude: 40 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:23:25.582646

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
0.0130,-0.01,0.02,-0.02,-0.01,-0.01,0.01,0.01,0.05,0.02,0.02,0.0
0.0370,-0.11,0.02,-0.16,-0.01,-0.09,0.01,0.04,0.05,0.15,0.06,0.0
0.0620,-0.28,-0.07,-0.44,-0.15,-0.28,-0.03,0.08,0.09,0.39,0.11,0.0
0.0860,-0.48,-0.25,-0.83,-0.41,-0.58,-0.21,0.09,0.09,0.70,0.33,0.0
0.1110,-0.69,-0.42,-1.35,-0.76,-1.03,-0.47,0.04,0.14,1.08,0.68,0.0
0.1350,-0.88,-0.60,-1.94,-1.25,-1.59,-0.91,-0.09,0.09,1.47,1.03,0.0
0.1600,-1.01,-0.82,-2.61,-1.82,-2.32,-1.44,-0.34,0.05,1.88,1.47,0.0
0.1850,-1.06,-0.91,-3.33,-2.48,-3.18,-2.14,-0.73,-0.13,2.25,1.87,0.0
0.2090,-1.00,-0.95,-4.03,-3.14,-4.13,-2.89,-1.25,-0.48,2.55,2.22,0.0
0.2340,-0.80,-0.91,-4.74,-3.80,-5.24,-3.81,-1.94,-1.01,2.76,2.53,0.0
0.2580,-0.46,-0.77,-5.37,-4.41,-6.40,-4.87,-2.78,-1.67,2.85,2.75,0.0
0.2820,0.05,-0.42,-5.94,-5.07,-7.62,-6.01,-3.78,-2.46,2.81,2.88,0.0
0.3070,0.76,0.15,-6.42,-5.60,-8.95,-7.25,-4.99,-3.52,2.59,2.79,0.0
0.3320,1.68,0.85,-6.76,-6.13,-10.30,-8.57,-6.36,-4.70,2.18,2.61,0.0
0.3560,2.74,1.78,-6.93,-6.48,-11.58,-9.89,-7.83,-6.07,1.60,2.31,0.0
0.3800,4.00,2.79,-6.93,-6.70,-12.84,-11.34,-9.43,-7.65,0.81,1.78,0.0
0.4040,5.44,4.02,-6.74,-6.70,-14.02,-12.61,-11.14,-9.32,-0.18,1.03,0.0
0.4280,7.04,5.43,-6.33,-6.66,-15.11,-13.85,-12.94,-10.95,-1.38,0.02,0.0
0.4520,8.81,7.10,-5.70,-6.35,-16.08,-14.95,-14.80,-12.71,-2.79,-1.17,0.0
0.4760,10.72,8.86,-4.84,-5.69,-16.89,-16.00,-16.69,-14.60,-4.39,-2.58,0.0
0.5010,12.84,10.84,-3.70,-4.90,-17.55,-16.84,-18.67,-16.58,-6.26,-4.16,0.0
0.5250,14.96,12.87,-2.36,-3.80,-17.97,-17.45,-20.55,-18.61,-8.23,-6.01,0.0
0.5500,17.25,15.02,-0.72,-2.48,-18.17,-17.98,-22.44,-20.54,-10.44,-7.99,0.0
0.5740,19.47,17.18,1.07,-0.94,-18.10,-18.25,-24.15,-22.48,-12.69,-10.19,0.0
0.5980,21.70,19.42,3.07,0.78,-17.78,-18.20,-25.74,-24.15,-15.04,-12.48,0.0
0.6220,23.90,21.75,5.26,2.80,-17.19,-17.94,-27.17,-25.82,-17.45,-14.81,0.0
0.6470,26.11,23.91,7.71,4.96,-16.28,-17.32,-28.46,-27.36,-20.01,-17.23,0.0
0.6710,28.13,25.98,10.20,7.47,-15.12,-16.57,-29.48,-28.68,-22.46,-19.91,0.0
0.6960,30.08,28.13,12.91,9.89,-13.62,-15.56,-30.27,-29.78,-24.98,-22.33,0.0
0.7200,31.78,30.07,15.58,12.39,-11.91,-14.20,-30.76,-30.58,-27.31,-24.75,0.0
0.7450,33.32,31.65,18.41,15.17,-9.86,-12.53,-30.97,-31.06,-29.63,-27.22,0.0
0.7690,34.56,33.19,21.11,17.89,-7.65,-10.46,-30.86,-31.15,-31.70,-29.51,0.0
0.7930,35.54,34.43,23.77,20.80,-5.23,-8.08,-30.44,-31.06,-33.58,-31.66,0.0
0.8180,36.25,35.44,26.46,23.53,-2.52,-5.62,-29.67,-30.66,-35.30,-33.47,0.0
0.8420,36.61,36.19,28.90,26.34,0.24,-2.80,-28.60,-29.92,-36.70,-35.18,0.0
0.8670,36.65,36.54,31.28,28.81,3.23,-0.03,-27.17,-28.68,-37.86,-36.55,0.0
0.8910,36.35,36.58,33.35,31.09,6.17,3.09,-25.49,-27.14,-38.66,-37.65,0.0
