# Swimming Robot Data Log
# Amplitude: 20 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:24:44.370215

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
1.2350,2.82,4.20,17.05,17.81,18.92,18.32,7.07,5.68,-9.91,-11.33,124.0
1.2570,1.44,2.79,16.29,17.15,19.32,18.89,8.35,7.04,-8.69,-10.06,124.0
1.2800,-0.00,1.43,15.41,16.35,19.65,19.29,9.64,8.36,-7.36,-8.83,124.0
1.3030,-1.44,0.02,14.45,15.56,19.87,19.64,10.88,9.60,-6.00,-7.55,124.0
1.3260,-2.88,-1.39,13.41,14.59,19.98,19.86,12.06,10.87,-4.61,-6.14,124.0
1.3480,-4.24,-2.80,12.36,13.54,19.99,19.99,13.13,12.10,-3.25,-4.69,124.0
1.3710,-5.64,-4.12,11.19,12.48,19.91,20.03,14.19,13.16,-1.82,-3.33,124.0
1.3940,-7.01,-5.53,9.96,11.34,19.71,19.99,15.17,14.26,-0.38,-1.92,124.0
1.4170,-8.34,-6.93,8.69,10.15,19.42,19.86,16.07,15.23,1.07,-0.55,124.0
1.4400,-9.64,-8.25,7.36,8.87,19.02,19.64,16.89,16.11,2.51,0.85,124.0
1.4630,-10.88,-9.49,6.00,7.69,18.53,19.24,17.62,16.94,3.93,2.35,124.0
1.4860,-12.06,-10.72,4.61,6.32,17.93,18.80,18.25,17.69,5.34,3.80,124.0
1.5080,-13.13,-11.86,3.25,4.91,17.28,18.23,18.77,18.31,6.66,5.21,124.0
1.5310,-14.19,-13.01,1.82,3.51,16.51,17.57,19.22,18.84,8.00,6.62,124.0
1.5540,-15.17,-14.06,0.38,2.05,15.65,16.82,19.57,19.28,9.30,7.94,124.0
1.5770,-16.07,-15.03,-1.07,0.60,14.71,15.94,19.82,19.63,10.56,9.17,124.0
1.6000,-16.89,-15.95,-2.51,-0.85,13.69,15.02,19.96,19.89,11.76,10.45,124.0
1.6230,-17.62,-16.75,-3.93,-2.35,12.60,14.05,20.00,20.02,12.89,11.63,124.0
1.6460,-18.25,-17.49,-5.34,-3.75,11.45,12.95,19.93,20.02,13.96,12.73,124.0
1.6690,-18.80,-18.15,-6.72,-5.12,10.23,11.76,19.76,20.02,14.96,13.79,124.0
1.6920,-19.24,-18.64,-8.06,-6.44,8.97,10.49,19.49,19.94,15.88,14.85,124.0
1.7150,-19.58,-19.12,-9.36,-7.85,7.65,9.25,19.12,19.63,16.72,15.81,124.0
1.7380,-19.83,-19.47,-10.61,-9.12,6.30,7.89,18.64,19.23,17.47,16.65,124.0
1.7610,-19.96,-19.69,-11.81,-10.40,4.91,6.57,18.07,18.79,18.12,17.40,124.0
1.7840,-20.00,-19.83,-12.94,-11.63,3.50,5.16,17.40,18.22,18.69,18.10,124.0
1.8070,-19.93,-19.83,-14.01,-12.73,2.07,3.71,16.65,17.56,19.15,18.67,124.0
1.8300,-19.75,-19.83,-15.00,-13.74,0.63,2.30,15.80,16.81,19.52,19.11,124.0
1.8540,-19.46,-19.65,-15.96,-14.75,-0.88,0.85,14.83,15.93,19.79,19.51,124.0
1.8770,-19.08,-19.39,-16.78,-15.68,-2.32,-0.60,13.83,15.01,19.95,19.77,124.0
1.9000,-18.60,-18.95,-17.53,-16.51,-3.75,-2.05,12.75,14.00,20.00,19.95,124.0
1.9230,-18.02,-18.51,-18.18,-17.26,-5.16,-3.46,11.60,12.90,19.95,19.99,124.0
1.9470,-17.31,-17.89,-18.75,-17.88,-6.60,-4.96,10.34,11.71,19.78,19.99,124.0
1.9700,-16.54,-17.14,-19.21,-18.49,-7.94,-6.37,9.08,10.48,19.52,19.86,124.0
1.9930,-15.69,-16.39,-19.56,-18.93,-9.25,-7.69,7.77,9.20,19.15,19.60,124.0
2.0160,-14.75,-15.60,-19.81,-19.33,-10.50,-8.96,6.42,7.88,18.69,19.25,130.6
2.0400,-13.69,-14.68,-19.96,-19.59,-11.76,-10.33,4.97,6.47,18.10,18.76,130.6
2.0630,-12.60,-13.62,-20.00,-19.73,-12.89,-11.60,3.56,5.06,17.43,18.19,130.6
2.0860,-11.45,-12.48,-19.93,-19.81,-13.96,-12.75,2.13,3.70,16.68,17.62,130.6
2.1090,-10.23,-11.33,-19.76,-19.77,-14.96,-13.80,0.69,2.25,15.84,16.87,130.6
2.1320,-8.97,-10.15,-19.49,-19.68,-15.88,-14.77,-0.75,0.84,14.92,16.03,130.6
2.1560,-7.60,-8.87,-19.10,-19.46,-16.75,-15.74,-2.26,-0.61,13.87,15.11,130.6
2.1790,-6.24,-7.55,-18.62,-19.11,-17.50,-16.57,-3.69,-2.11,12.80,14.10,130.6
2.2020,-4.85,-6.23,-18.04,-18.58,-18.15,-17.32,-5.10,-3.52,11.65,13.00,130.6
2.2260,-3.38,-4.82,-17.34,-18.01,-18.73,-17.98,-6.54,-4.97,10.40,11.90,130.6
2.2490,-1.94,-3.37,-16.58,-17.35,-19.19,-18.55,-7.89,-6.33,9.14,10.67,130.6
2.2720,-0.50,-1.92,-15.73,-16.51,-19.55,-18.95,-9.19,-7.61,7.83,9.48,130.6
2.2960,1.01,-0.51,-14.75,-15.68,-19.81,-19.30,-10.50,-8.88,6.42,8.20,130.6
2.3190,2.44,0.99,-13.74,-14.75,-19.96,-19.52,-11.71,-10.12,5.03,6.88,130.6
2.3420,3.87,2.53,-12.65,-13.74,-20.00,-19.70,-12.85,-11.39,3.62,5.47,130.6
2.3650,5.28,3.93,-11.50,-12.69,-19.94,-19.79,-13.92,-12.54,2.19,3.93,130.6
2.3890,6.72,5.30,-10.23,-11.45,-19.76,-19.79,-14.96,-13.72,0.69,2.44,130.6
2.4120,8.06,6.71,-8.97,-10.22,-19.49,-19.70,-15.88,-14.87,-0.75,0.94,130.6
2.4350,9.36,8.07,-7.65,-9.08,-19.12,-19.52,-16.72,-15.75,-2.20,-0.51,130.6
2.4590,10.66,9.39,-6.24,-7.71,-18.62,-19.17,-17.50,-16.54,-3.69,-1.92,130.6
2.4820,11.86,10.67,-4.85,-6.39,-18.04,-18.69,-18.15,-17.38,-5.10,-3.37,130.6
2.5060,13.04,11.90,-3.38,-5.03,-17.34,-18.16,-18.73,-18.08,-6.54,-4.87,130.6
2.5290,14.10,13.00,-1.94,-3.62,-16.58,-17.41,-19.19,-18.70,-7.89,-6.27,130.6
2.5530,15.13,14.05,-0.44,-2.08,-15.69,-16.71,-19.56,-19.18,-9.25,-7.73,130.6
2.5760,16.03,15.02,1.01,-0.63,-14.75,-15.83,-19.81,-19.53,-10.50,-9.05,130.6
2.6000,16.89,15.99,2.51,0.91,-13.69,-14.86,-19.96,-19.80,-11.76,-10.32,130.6
2.6230,17.62,16.87,3.93,2.32,-12.60,-13.85,-20.00,-19.97,-12.89,-11.60,130.6
2.6460,18.25,17.62,5.34,3.77,-11.45,-12.79,-19.93,-20.06,-13.96,-12.83,130.6
2.6690,18.80,18.23,6.72,5.18,-10.23,-11.69,-19.76,-20.02,-14.96,-13.89,130.6
2.6930,19.26,18.76,8.12,6.54,-8.91,-10.50,-19.48,-19.88,-15.92,-14.90,130.6
2.7160,19.60,19.20,9.41,7.82,-7.60,-9.18,-19.10,-19.62,-16.75,-15.82,130.6
2.7390,19.83,19.47,10.66,9.09,-6.24,-7.77,-18.62,-19.22,-17.50,-16.66,130.6
2.7620,19.97,19.69,11.86,10.37,-4.85,-6.45,-18.04,-18.74,-18.15,-17.36,130.6
2.7860,20.00,19.86,13.04,11.65,-3.38,-5.09,-17.34,-18.17,-18.73,-18.02,130.6
2.8090,19.92,19.91,14.10,12.83,-1.94,-3.68,-16.58,-17.46,-19.19,-18.59,130.6
2.8320,19.73,19.86,15.09,13.93,-0.50,-2.23,-15.73,-16.67,-19.55,-19.12,130.6
2.8550,19.45,19.69,15.99,14.95,0.94,-0.69,-14.79,-15.84,-19.80,-19.47,130.6
2.8780,19.06,19.42,16.82,15.83,2.38,0.76,-13.78,-14.87,-19.95,-19.74,130.6
2.9020,18.55,19.07,17.59,16.71,3.87,2.17,-12.65,-13.81,-20.00,-19.87,130.6
2.9250,17.96,18.54,18.23,17.45,5.28,3.62,-11.50,-12.71,-19.94,-19.91,130.6
2.9480,17.28,17.97,18.77,18.07,6.66,5.07,-10.29,-11.61,-19.77,-19.91,130.6
2.9710,16.51,17.27,19.22,18.64,8.00,6.57,-9.02,-10.38,-19.50,-19.78,130.6
2.9940,15.65,16.52,19.57,19.08,9.30,7.89,-7.71,-9.10,-19.13,-19.56,130.6
3.0170,14.71,15.59,19.82,19.48,10.56,9.21,-6.36,-7.78,-18.66,-19.17,128.9
3.0400,13.69,14.67,19.96,19.74,11.76,10.44,-4.97,-6.38,-18.10,-18.68,128.9
3.0630,12.60,13.70,20.00,19.87,12.89,11.72,-3.56,-4.92,-17.43,-18.11,128.9
3.0860,11.45,12.60,19.93,19.92,13.96,12.86,-2.13,-3.60,-16.68,-17.54,128.9
3.1100,10.18,11.50,19.75,19.92,15.00,13.96,-0.63,-2.24,-15.80,-16.75,128.9
3.1330,8.91,10.18,19.48,19.74,15.92,14.93,0.82,-0.74,-14.88,-15.91,128.9
3.1560,7.60,8.86,19.10,19.52,16.75,15.85,2.26,0.84,-13.87,-15.03,128.9
3.1790,6.24,7.59,18.62,19.13,17.50,16.69,3.69,2.25,-12.80,-14.02,128.9
3.2020,4.85,6.18,18.04,18.64,18.15,17.39,5.10,3.70,-11.65,-12.92,128.9
3.2260,3.38,4.81,17.34,18.03,18.73,18.10,6.54,5.15,-10.40,-11.77,128.9
3.2490,1.94,3.41,16.58,17.41,19.19,18.67,7.89,6.47,-9.14,-10.59,128.9
3.2720,0.50,2.00,15.73,16.71,19.55,19.20,9.19,7.84,-7.83,-9.31,128.9
3.2950,-0.94,0.50,14.79,15.91,19.80,19.55,10.45,9.16,-6.48,-7.99,128.9
3.3180,-2.38,-0.86,13.78,14.99,19.95,19.81,11.65,10.39,-5.09,-6.67,128.9
3.3410,-3.81,-2.31,12.70,13.93,20.00,19.99,12.80,11.62,-3.69,-5.26,128.9
3.3640,-5.22,-3.72,11.55,12.88,19.94,20.03,13.87,12.76,-2.26,-3.81,128.9
3.3870,-6.60,-5.13,10.34,11.73,19.78,19.99,14.88,13.95,-0.82,-2.36,128.9
3.4100,-7.94,-6.54,9.08,10.46,19.52,19.86,15.80,14.96,0.63,-0.95,128.9
3.4330,-9.25,-7.90,7.77,9.23,19.15,19.68,16.65,15.89,2.07,0.50,128.9
3.4560,-10.50,-9.18,6.42,7.95,18.69,19.37,17.40,16.72,3.50,2.00,128.9
3.4790,-11.70,-10.37,5.03,6.67,18.12,18.98,18.07,17.43,4.91,3.41,128.9
3.5020,-12.85,-11.51,3.62,5.40,17.47,18.49,18.64,18.13,6.30,4.81,128.9
3.5250,-13.92,-12.61,2.19,3.99,16.72,17.88,19.12,18.70,7.65,6.18,128.9
3.5480,-14.92,-13.75,0.75,2.54,15.88,17.13,19.49,19.23,8.97,7.63,128.9
3.5720,-15.88,-14.72,-0.75,1.13,14.92,16.38,19.77,19.58,10.29,8.95,128.9
3.5950,-16.72,-15.60,-2.19,-0.32,13.92,15.37,19.94,19.89,11.50,10.18,128.9
3.6180,-17.47,-16.39,-3.62,-1.82,12.84,14.45,20.00,20.02,12.65,11.46,128.9
3.6410,-18.12,-17.14,-5.03,-3.23,11.70,13.39,19.96,20.07,13.74,12.60,128.9
3.6640,-18.69,-17.80,-6.42,-4.59,10.50,12.25,19.81,20.07,14.75,13.66,128.9
3.6880,-19.17,-18.42,-7.83,-5.95,9.19,11.01,19.55,19.98,15.73,14.67,128.9
3.7110,-19.53,-18.86,-9.14,-7.32,7.88,9.65,19.19,19.80,16.58,15.64,128.9
3.7340,-19.79,-19.21,-10.40,-8.59,6.54,8.37,18.73,19.50,17.34,16.52,128.9
3.7570,-19.95,-19.47,-11.60,-9.87,5.16,7.01,18.18,19.01,18.02,17.31,128.9
3.7800,-20.00,-19.65,-12.75,-11.15,3.75,5.65,17.53,18.48,18.60,18.01,128.9
3.8030,-19.95,-19.69,-13.83,-12.25,2.32,4.28,16.78,17.78,19.08,18.59,128.9
3.8270,-19.78,-19.69,-14.88,-13.30,0.82,2.83,15.92,17.03,19.48,19.11,128.9
3.8500,-19.52,-19.61,-15.80,-14.36,-0.63,1.38,15.00,16.24,19.75,19.47,128.9
3.8730,-19.15,-19.34,-16.65,-15.28,-2.07,-0.12,14.01,15.32,19.93,19.82,128.9
3.8960,-18.69,-18.99,-17.40,-16.16,-3.50,-1.61,12.94,14.30,20.00,19.99,128.9
3.9190,-18.12,-18.51,-18.07,-16.82,-4.91,-3.02,11.81,13.29,19.96,20.04,128.9
3.9420,-17.47,-17.93,-18.64,-17.44,-6.30,-4.43,10.61,12.15,19.83,20.04,128.9
3.9660,-16.68,-17.32,-19.13,-18.01,-7.71,-5.75,9.30,10.96,19.57,19.91,128.9
3.9890,-15.84,-16.53,-19.50,-18.58,-9.02,-7.11,8.00,9.68,19.22,19.69,128.9
