# Swimming Robot Data Log
# Amplitude: 20 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:24:44.370215

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
0.0140,-0.01,0.02,-0.01,-0.01,-0.01,0.01,0.00,0.05,0.01,0.06,129.7
0.0380,-0.06,-0.03,-0.08,-0.01,-0.05,0.01,0.02,0.05,0.08,0.06,129.7
0.0620,-0.14,-0.07,-0.22,-0.06,-0.14,0.01,0.04,0.05,0.19,0.06,129.7
0.0860,-0.24,-0.16,-0.42,-0.23,-0.29,-0.12,0.04,0.09,0.35,0.19,129.7
0.1110,-0.35,-0.25,-0.68,-0.41,-0.51,-0.25,0.02,0.09,0.54,0.33,129.7
0.1350,-0.44,-0.33,-0.97,-0.67,-0.80,-0.47,-0.05,0.05,0.74,0.55,129.7
0.1600,-0.51,-0.42,-1.30,-0.98,-1.16,-0.78,-0.17,0.00,0.94,0.72,129.7
0.1840,-0.53,-0.47,-1.65,-1.29,-1.57,-1.09,-0.36,-0.13,1.12,0.94,129.7
0.2080,-0.50,-0.51,-2.00,-1.60,-2.05,-1.48,-0.61,-0.30,1.27,1.12,129.7
0.2330,-0.40,-0.47,-2.35,-1.95,-2.60,-1.97,-0.96,-0.57,1.38,1.25,129.7
0.2570,-0.24,-0.42,-2.67,-2.26,-3.17,-2.45,-1.37,-0.92,1.43,1.34,129.7
0.2810,0.01,-0.20,-2.96,-2.57,-3.78,-2.98,-1.87,-1.27,1.41,1.38,129.7
0.3060,0.36,0.06,-3.20,-2.83,-4.45,-3.59,-2.47,-1.76,1.30,1.43,129.7
0.3300,0.80,0.41,-3.37,-3.05,-5.09,-4.21,-3.12,-2.28,1.11,1.29,129.7
0.3540,1.32,0.85,-3.46,-3.23,-5.74,-4.91,-3.85,-2.99,0.83,1.12,129.7
0.3780,1.94,1.38,-3.47,-3.31,-6.37,-5.53,-4.65,-3.69,0.44,0.81,129.7
0.4020,2.65,2.00,-3.38,-3.31,-6.96,-6.19,-5.50,-4.53,-0.04,0.46,129.7
0.4270,3.49,2.70,-3.18,-3.31,-7.54,-6.81,-6.43,-5.41,-0.66,0.02,129.7
0.4510,4.37,3.54,-2.87,-3.18,-8.02,-7.38,-7.36,-6.33,-1.36,-0.51,129.7
0.4750,5.32,4.37,-2.44,-2.87,-8.43,-7.91,-8.31,-7.26,-2.16,-1.21,129.7
0.5010,6.42,5.34,-1.85,-2.39,-8.77,-8.39,-9.34,-8.36,-3.13,-2.05,129.7
0.5250,7.48,6.40,-1.18,-1.91,-8.98,-8.74,-10.27,-9.32,-4.11,-2.97,129.7
0.5490,8.58,7.50,-0.40,-1.33,-9.08,-9.01,-11.18,-10.29,-5.17,-3.94,129.7
0.5740,9.74,8.60,0.54,-0.54,-9.05,-9.09,-12.08,-11.22,-6.34,-5.04,129.7
0.5980,10.85,9.74,1.54,0.38,-8.89,-9.09,-12.87,-12.05,-7.52,-6.14,129.7
0.6220,11.95,10.84,2.63,1.35,-8.59,-8.96,-13.59,-12.93,-8.73,-7.33,129.7
0.6460,13.01,11.94,3.80,2.45,-8.16,-8.65,-14.21,-13.64,-9.95,-8.61,129.7
0.6700,14.02,12.95,5.05,3.64,-7.59,-8.26,-14.72,-14.30,-11.18,-9.88,129.7
0.6940,14.96,13.97,6.35,4.87,-6.87,-7.77,-15.11,-14.82,-12.39,-11.11,129.7
0.7180,15.82,14.93,7.68,6.15,-6.03,-7.11,-15.37,-15.22,-13.56,-12.39,129.7
0.7420,16.57,15.73,9.03,7.42,-5.06,-6.28,-15.48,-15.44,-14.68,-13.53,129.7
0.7660,17.21,16.47,10.39,8.79,-3.97,-5.40,-15.45,-15.53,-15.72,-14.63,129.7
0.7910,17.73,17.13,11.78,10.11,-2.72,-4.34,-15.24,-15.53,-16.71,-15.69,129.7
0.8150,18.09,17.71,13.07,11.43,-1.43,-3.11,-14.89,-15.40,-17.55,-16.66,129.7
0.8390,18.29,18.06,14.30,12.75,-0.06,-1.75,-14.38,-15.09,-18.27,-17.45,129.7
0.8630,18.34,18.19,15.46,14.02,1.37,-0.34,-13.71,-14.60,-18.85,-18.20,129.7
0.8870,18.21,18.23,16.51,15.25,2.84,1.11,-12.89,-13.86,-19.28,-18.77,129.7
0.9110,17.92,18.19,17.45,16.31,4.33,2.57,-11.94,-13.02,-19.54,-19.21,129.7
0.9350,17.46,17.88,18.25,17.23,5.81,4.06,-10.85,-12.05,-19.64,-19.47,129.7
0.9590,16.84,17.44,18.91,18.03,7.27,5.65,-9.64,-11.04,-19.56,-19.56,129.7
0.9830,16.05,16.83,19.40,18.73,8.68,7.14,-8.34,-9.81,-19.31,-19.52,129.7
1.0060,15.17,15.99,19.71,19.26,9.96,8.51,-7.01,-8.44,-18.90,-19.34,124.0
1.0290,14.19,15.15,19.91,19.61,11.19,9.83,-5.64,-7.12,-18.38,-18.90,124.0
1.0520,13.13,14.19,19.99,19.83,12.36,11.10,-4.24,-5.67,-17.76,-18.37,124.0
1.0750,12.01,13.13,19.98,19.92,13.46,12.29,-2.82,-4.22,-17.05,-17.76,124.0
1.0980,10.82,12.07,19.86,19.92,14.49,13.39,-1.38,-2.86,-16.25,-17.14,124.0
1.1210,9.58,10.84,19.63,19.87,15.45,14.45,0.06,-1.40,-15.37,-16.39,124.0
1.1440,8.29,9.57,19.31,19.65,16.33,15.37,1.51,0.09,-14.41,-15.51,124.0
1.1660,7.01,8.33,18.90,19.35,17.09,16.25,2.88,1.46,-13.41,-14.59,124.0
1.1890,5.64,7.06,18.38,18.91,17.79,17.00,4.30,2.86,-12.31,-13.53,124.0
1.2120,4.24,5.61,17.76,18.42,18.40,17.70,5.70,4.27,-11.14,-12.48,124.0
