time_s,target_1,target_2,target_3,target_4,target_5
0.01,0.0012823592007973077,0.0023370989623108327,0.0021206974031705217,0.00186229069820076,0.004531003084181756
0.02,-0.0016973837663794473,0.0007141497849457614,0.0018255926727176364,0.0042705017898953925,0.017796163337521795
0.03,-0.010474736237116693,-0.005029809117926544,-0.00015425206837247287,0.008393659743687394,0.04097738455162671
0.04,-0.025219394462805255,-0.01390160755357504,-0.0022924711896595224,0.01582844235155476,0.07541862036487607
0.05,-0.04009147181830698,-0.020549002591695148,-0.00043839655537436555,0.029359122077246173,0.12275549458886259
0.06,-0.04365212281079354,-0.015923609283534493,0.011606029934661508,0.052617599379179134,0.1847907617302638
0.07,-0.02442544155867635,0.008530980693130503,0.039502093671800874,0.08889158092420262,0.2631861504528947
0.08,0.02329585975048468,0.05682088368158744,0.08601159159903089,0.14008781062371622,0.3592055640259644
0.09,0.0953967888163253,0.12605984262702807,0.14985355600432135,0.206306424824339,0.47362105368011576
0.1,0.1851446153596901,0.2120832081625477,0.2292349918571453,0.2874649163075685,0.607090265754809
0.11,0.2879235072826701,0.31277008490403807,0.32377365423732507,0.38412243239731847,0.7603295745996195
0.12,0.4061188608710616,0.4313998006675484,0.43643781875567583,0.4983089458554525,0.934298709143535
0.13,0.5455058089642333,0.5733966361374508,0.571320669738642,0.6324553529194694,1.1299395212560526
0.14,0.7114141030901151,0.7432216627318214,0.7315932010178406,0.7884102298584493,1.3479284753406882
0.15,0.9059566639381385,0.942303204849509,0.9183018045512525,0.9669036437351323,1.5885915957890377
0.16,1.128120908914056,1.1690863683464,1.130230538741637,1.1674398026176163,1.8518227445213389
0.17,1.376852972732084,1.422098054485165,1.3663330261798683,1.3895874436556637,2.1374381592273233
0.18,1.6515477633028262,1.7005884655154824,1.6261401193504823,1.6332666256093418,2.4453288823087287
0.19,1.9521475799887718,2.003843446801657,1.9090110345979001,1.8981541117197969,2.775180735922951
0.2,2.2796294839975877,2.3320305997200204,2.214683269413186,2.183891573116669,3.1266501284539077
0.21,2.635034510636568,2.6860694312957794,2.543581147105397,2.490276441560408,3.4989224540883823
0.22,3.022018573162304,3.0704031881196476,2.8992122001814864,2.819126538542717,3.892161248131934
0.23,3.4435417954942444,3.488661217050939,3.284412769419186,3.1718781072371134,4.30641171187768
0.24,3.902584881414207,3.944543715623866,3.7020513079001303,3.549943760385876,4.741608727331185
0.25,4.393017427997862,4.433258618674277,4.149175302790089,3.9520928999317784,5.197207569137673
0.26,4.9014401747179175,4.9429257268438995,4.616869350038523,4.37281867231564,5.670585957441911
0.27,5.416824945188881,5.465681184466799,5.100023176510025,4.809382675688298,6.160565776267165
0.28,5.935966563548643,6.00160910853704,5.599726097636744,5.262451579844294,6.6668334363783055
0.29,6.471175931337599,6.563616351095074,6.1264479187933505,5.7381982430801415,7.191028514059485
0.3,7.035560480564233,7.1615933389278865,6.686034698096284,6.238466117082717,7.7322951612368405
0.31,7.639515818611878,7.803564535334359,7.283253071244257,6.764792238179905,8.290182213301007
0.32,8.281169612302387,8.487913185984079,7.917216003659157,7.316992886059882,8.864513543826458
0.33,8.951452023018577,9.206907160330458,8.583207665553301,7.893578551183088,9.45521616521908
0.34,9.641405479247261,9.95166736291669,9.272242786798719,8.48681701785792,10.057541767277291
0.35,10.352382445598954,10.72779986125865,9.989675781097619,9.099829750860597,10.6722494903958
0.36,11.08727864074721,11.538710118419822,10.739224035498715,9.7362013859154,11.301159330131249
0.37,11.850076773838373,12.386506255878405,11.52110509297049,10.393961783947113,11.941345746289805
0.38,12.637351300693505,13.266754963982315,12.332412847325244,11.071507030365316,12.59204538638397
0.39,13.4374516434967,14.172948105071118,13.172035523200746,11.770791721670324,13.255267860139453
0.4,14.23533982024474,15.093591065345498,14.031517463448658,12.486361319659315,13.928261788185841
0.41,15.024627627716235,16.02556939009867,14.907465515806306,13.214477223999541,14.608346610612811
0.42,15.809169132615406,16.976528569246714,15.808294407565787,13.961711413604233,15.298128333481294
0.43,16.598921044965614,17.948966147042416,16.734160593368514,14.728125726864606,15.997550545288297
0.44,17.399895500383163,18.945138515943746,17.685983567237862,15.513416122741315,16.7057596984256
0.45,18.20052702775243,19.954691332877122,18.657135513502485,16.314286711350626,17.421742772799416
0.46,18.972911694547125,20.95589045243821,19.63269291675385,17.12248318391555,18.14241772935453
0.47,19.689259613584735,21.927961937291975,20.599693327100848,17.933042135484577,18.86721490377428
0.48,20.34599894671605,22.87473426410648,21.564897128746843,18.75105563701752,19.59795627580135
0.49,20.9833599981654,23.836140876455644,22.559865237802704,19.594462028990854,20.340215428003308
0.5,21.644824391710337,24.84602317454418,23.603440891062334,20.46862462432794,21.092746281451934
0.51,22.351042817016463,25.913999423244885,24.698213433389334,21.373275445552796,21.855301625069927
0.52,23.031737318437585,26.955641415989216,25.779906373777187,22.276971311067914,22.620735660902923
0.53,23.570845706261704,27.853295381743834,26.765855660308862,23.141803275875073,23.382054451743684
0.54,23.889424618025327,28.549391786777527,27.620164611772726,23.949821829212954,24.133430699350544
0.55,24.018904611163304,29.091081183944464,28.38159528473708,24.721116211946327,24.879665129371446
0.56,24.085022339285203,29.604627132919596,29.141927689401772,25.501795689979204,25.632447654252502
0.57,24.224185102989985,30.21789407604627,29.99324469328749,26.33900441093809,26.4042821971147
0.58,24.505394684766724,30.99254694333852,30.978106160800618,27.254083049672136,27.20146518958764
0.59,24.890436350447246,31.91118092102738,32.089518359161545,28.24441043519688,28.023540660022036
0.6,25.30907989232746,32.92576195880781,33.30294668636096,29.30115051084244,28.86899321316279
0.61,25.678037032061827,33.96625095852986,34.57142511214,30.404544714715605,29.735097292548193
0.62,25.93094513695043,34.93940365664141,35.818263141923744,31.511232477441006,30.60895886531658
0.63,26.01169412203969,35.7327302364173,36.941028140888385,32.56527378914188,31.477281864330358
0.64,25.88913500686639,36.25591170239211,37.84938817895002,33.514610162865495,32.32550139981804
0.65,25.589168190774025,36.53187318668309,38.56138667276069,34.37125798814579,33.15804897368791
0.66,25.179504602833603,36.66677349383098,39.16778776974026,35.182708045962876,33.986407289555395
0.67,24.743260327650496,36.78029942133534,39.76576105148548,36.00012955107693,34.82321651864416
0.68,24.311917784695094,36.927315444786025,40.404624754880466,36.84986851755,35.67498899002728
0.69,23.860147271026158,37.06169839622106,41.03882728886107,37.70265590294895,36.53025611010737
0.7,23.34483017249586,37.1200082642148,41.61931502899296,38.53797060751345,37.38700750596584
0.71,22.731139779610235,37.05506427413123,42.10150628890269,39.32631901000421,38.23332953176027
0.72,21.999430212089877,36.85882881028423,42.48521868904822,40.066804326201655,39.06381476914378
0.73,21.14753017921299,36.54680740037802,42.789016164460264,40.7705611305892,39.877883337443095
0.74,20.186438165535588,36.13759744871282,43.03167853452709,41.44723037136544,40.671599467848765
0.75,19.16589905758475,35.65621424660118,43.21619693398144,42.08634844403684,41.42954443152584
0.76,18.16777553522419,35.12797194342696,43.33330083749628,42.66946751005024,42.13584167225835
0.77,17.266523049821632,34.571504018720844,43.3679324976528,43.172992020024786,42.771402245349414
0.78,16.480487016641355,33.985122947059786,43.30973581305167,43.585364387849815,43.32273035534683
0.79,15.736559525088857,33.340829558862865,43.16297639945446,43.91547212719142,43.78595185753896
0.8,14.931992675431804,32.60778927432993,42.94616765827476,44.188300343489786,44.166615220964246
0.81,13.974003277266705,31.754754242371316,42.672780167243126,44.42715230029909,44.474755413249646
0.82,12.8079428635489,30.747135835252873,42.33068281976579,44.63486164433286,44.71640125822227
0.83,11.407607693830297,29.555497960759343,41.89520895441588,44.801750005153636,44.89214709155191
0.84,9.77426903509952,28.16709427818268,41.34417866393177,44.91729606948555,44.99563044923638
0.85,7.995525516826753,26.634870459267205,40.688826758749634,44.98171880660057,45.0
0.86,6.2226839598896975,25.055626742097914,39.9609806424686,44.99961928672047,45.0
0.87,4.5913258229093445,23.508997838656494,39.18320837576943,44.97294461668523,45.0
0.88,3.161280911488148,22.025737166783262,38.361752011771706,44.90553715779654,44.997833389775856
0.89,1.8746978208722502,20.560195040093646,37.47120337462211,44.79713489660939,44.976843442967045
0.9,0.6421385182889453,19.060556188121186,36.493284634726955,44.65359642205395,44.94830743900973
0.91,-0.6063236899234775,17.488574365642407,35.41254369698922,44.47622846468825,44.916583108736205
0.92,-1.8713719752036277,15.855102689681807,34.23838861362474,44.27120524420024,44.88324196960191
