frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
0,0.0000,1,-0.083842,0.026615,1.270452,-5.21,-1.46,0.77,1754.29,1114.78,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
1,0.0333,1,-0.084022,0.026862,1.267526,-1.95,2.75,0.74,1753.55,1115.40,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
2,0.0667,1,-0.084567,0.027318,1.272676,-2.16,-3.01,0.86,1753.15,1116.10,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
3,0.1000,1,-0.084589,0.027591,1.269843,-3.28,-0.59,0.77,1752.73,1116.75,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
4,0.1333,1,-0.084846,0.027872,1.270596,-5.16,-2.38,0.78,1752.32,1117.27,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
5,0.1667,1,-0.084938,0.028202,1.269293,-6.19,-1.86,0.74,1751.95,1117.97,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
6,0.2000,1,-0.085194,0.028505,1.269480,-6.87,-2.34,0.72,1751.46,1118.57,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
7,0.2333,1,-0.085492,0.028881,1.270618,-2.66,-0.65,0.75,1751.04,1119.29,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
8,0.2667,1,-0.085565,0.029171,1.268942,-5.88,-7.87,1.10,1750.67,1119.92,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
9,0.3000,1,-0.086014,0.029512,1.272002,-3.11,-4.87,0.82,1750.18,1120.48,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
10,0.3333,1,-0.086278,0.029715,1.270708,-6.61,-3.49,0.67,1749.48,1120.92,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
11,0.3667,1,-0.086350,0.029833,1.269744,-3.14,-8.06,0.94,1749.21,1121.22,4,"[11, 12, 13, 14]",5,1123.71,2083.41,3101.10,2083.27,3119.11,95.43,1118.62,132.48
