frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
0,0.0000,1,-0.077004,0.002424,1.269311,-4.83,1.77,0.65,1767.75,1066.63,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
1,0.0333,1,-0.077090,0.002303,1.270123,-5.36,0.62,0.71,1767.67,1066.38,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
2,0.0667,1,-0.077243,0.002230,1.272840,1.07,-7.63,0.87,1767.54,1066.17,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
3,0.1000,1,-0.077250,0.002231,1.272949,1.05,-7.54,0.87,1767.54,1066.17,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
4,0.1334,1,-0.077405,0.001998,1.272941,1.00,-7.38,0.75,1767.21,1065.68,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
5,0.1667,1,-0.077279,0.001839,1.269057,-1.62,3.34,0.63,1767.18,1065.51,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
6,0.2001,1,-0.077104,0.001720,1.266052,0.74,5.83,0.73,1767.15,1065.31,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
7,0.2334,1,-0.076846,0.001577,1.263614,-0.42,7.21,0.60,1767.33,1065.02,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
8,0.2668,1,-0.076690,0.001443,1.262992,-2.72,7.19,0.39,1767.56,1064.69,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
9,0.3001,1,-0.076748,0.001335,1.267818,2.06,5.02,0.83,1768.08,1064.56,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
10,0.3334,1,-0.076730,0.001178,1.270454,-1.04,3.76,0.62,1768.44,1064.21,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
11,0.3668,1,-0.076523,0.001120,1.269656,1.37,-10.83,0.60,1768.55,1064.02,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
12,0.4001,1,-0.076510,0.000996,1.268354,-4.33,4.29,0.35,1768.61,1063.79,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
13,0.4335,1,-0.076173,0.000945,1.262598,-2.48,7.81,0.27,1768.54,1063.72,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
14,0.4668,1,-0.076395,0.000894,1.266496,-2.46,6.02,0.42,1768.60,1063.60,4,"[11, 12, 13, 14]",5,1144.42,2071.43,3126.86,2072.24,3140.06,76.23,1137.39,123.66
