frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
28,0.9331,1,-0.070533,-0.025881,1.264767,-3.24,1.06,-1.93,1780.10,1010.16,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
29,0.9665,1,-0.070545,-0.025888,1.265004,-3.10,1.10,-1.94,1780.10,1010.16,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
30,0.9998,1,-0.070559,-0.025893,1.265323,-3.45,0.44,-1.94,1780.11,1010.16,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
31,1.0331,1,-0.070572,-0.025947,1.265569,-2.33,1.28,-1.87,1780.11,1010.07,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
32,1.0665,1,-0.070474,-0.026013,1.265659,-4.09,-2.04,-1.89,1780.32,1009.93,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
33,1.0998,1,-0.070377,-0.026011,1.265109,-4.16,-0.62,-1.95,1780.45,1009.91,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
34,1.1331,1,-0.070238,-0.026007,1.263973,-4.96,0.30,-1.96,1780.60,1009.85,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
35,1.1664,1,-0.070099,-0.026045,1.264056,-5.35,-2.22,-1.85,1780.88,1009.78,4,"[11, 12, 13, 14]",6,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
36,1.1998,1,-0.070118,-0.026062,1.264360,-5.14,-2.53,-1.87,1780.88,1009.76,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
37,1.2331,1,-0.070097,-0.026064,1.264177,-5.39,-3.46,-1.86,1780.90,1009.75,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
38,1.2664,1,-0.070098,-0.026076,1.263794,-5.41,-1.40,-1.95,1780.86,1009.71,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
39,1.2997,1,-0.070096,-0.026081,1.263653,-5.23,-1.32,-1.94,1780.84,1009.69,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
40,1.3331,1,-0.070070,-0.026099,1.263381,-5.59,-2.35,-1.90,1780.87,1009.64,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
41,1.3664,1,-0.070278,-0.026127,1.264574,-4.77,-1.97,-1.91,1780.59,1009.65,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
42,1.3997,1,-0.070280,-0.026127,1.264607,-4.73,-1.96,-1.91,1780.59,1009.65,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
43,1.4330,1,-0.070354,-0.026129,1.264496,-4.60,-1.35,-1.99,1780.43,1009.64,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
44,1.4664,1,-0.070438,-0.026127,1.265096,-3.97,-1.72,-1.94,1780.33,1009.68,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
