time_s,target_1,target_2,target_3,target_4,target_5
0.01,-0.0031916261476679095,-0.0027137164851039684,-0.0017486744551838392,-0.00017159041811689078,0.00399598580638322
0.02,-0.01085312809673745,-0.00890633404312528,-0.005333347550844829,0.0005653019599373038,0.0168297653031014
0.03,-0.023384636790810518,-0.018335102709997483,-0.009980378596729502,0.003323116648943453,0.039653789438773505
0.04,-0.03962312291135247,-0.029352959806805492,-0.013921886183980154,0.009748446659187652,0.0738109761303485
0.05,-0.05401401291796961,-0.03702546000416501,-0.01335890311216226,0.02242957100471205,0.12088249742712165
0.06,-0.057170018590424136,-0.033874861455101574,-0.0030770142305495494,0.04454240596681655,0.18256080014488266
0.07,-0.040019232191375174,-0.013110383303549451,0.021509680353009184,0.07888530778764473,0.2603905917294986
0.08,0.0015050763334123508,0.02804805039939017,0.06240649759609928,0.12701743652915298,0.35555258479231366
0.09,0.06308123462626604,0.08636666813998581,0.11801956322534103,0.1888536609801516,0.46876354525716846
0.1,0.1383785069062636,0.15757254049763583,0.18629269624641734,0.26411697369291,0.6006162045436634
0.11,0.2235136525450351,0.2395603123822183,0.26660391971033526,0.35315846001051143,0.7517553673251776
0.12,0.3216935043540599,0.33546741092580795,0.3614923360683634,0.45769283878384776,0.9230406464482237
0.13,0.4396585698836264,0.45077271411878983,0.47477196849148495,0.5799047507397503,1.1153281842746676
0.14,0.5835934830911598,0.590285085957147,0.609700934542815,0.7216253263286752,1.3292792973792398
0.15,0.7558707516291443,0.7559113646208283,0.7677145697248468,0.8837903580675425,1.5652525966102104
0.16,0.9554118832223654,0.9469542623853888,0.9485680904349416,1.0664992833454743,1.8233095126281644
0.17,1.1803941117853978,1.1622129822158385,1.1517356937353715,1.2696805021734576,2.10337791731537
0.18,1.429912978594062,1.401033935313896,1.3769091597620424,1.4932900240382418,2.405316917656748
0.19,1.7046442773164336,1.663442042031986,1.623944846403115,1.7372057108746881,2.7288438117842824
0.2,2.0058693590967787,1.9498373705932184,1.892789640011152,2.0012101904883073,3.0735915529886144
0.21,2.335057424080964,2.2612280635973225,2.1839439536942313,2.2853053175906552,3.4390400896674453
0.22,2.694878845054145,2.600482068554165,2.4995715700948233,2.590543853739852,3.8250948331472516
0.23,3.0875496453889952,2.9702302791595314,2.841722624479481,2.9179340428689122,4.231631852093716
0.24,3.5140359803973182,3.372097692276132,3.2117677712044745,3.268121714362484,4.658371993224476
