time_s,target_1,target_2,target_3,target_4,target_5
0.01,0.1066927420211127,-0.027800184293888863,-0.06585365749643586,-0.04686087991740697,-0.010563818760770971
0.02,0.21669298566309028,-0.02733238252604114,-0.10263946571370695,-0.07491821948322387,-0.0074324688827520176
0.03,0.3240247805748445,-0.015061345254741834,-0.12581905035954957,-0.09281055291619784,0.007662946170319253
0.04,0.4330288313879933,0.007069464678107179,-0.13881005525418078,-0.10254258446901743,0.0348365577504112
0.05,0.5482484192092227,0.03888562761022856,-0.1432113078298855,-0.10500968078374338,0.07455133155376731
0.06,0.6719957915818734,0.07920956927563526,-0.1408480347748108,-0.10100917801906784,0.1273225993908625
0.07,0.8053947965528703,0.12642170157722846,-0.13360500431780004,-0.09131971005528712,0.1936362820284318
0.08,0.9491129256271021,0.1808222104137173,-0.12099340831340535,-0.0750579638701371,0.27457178459210757
0.09,1.1017038661737397,0.24243051239343877,-0.10204845450323162,-0.05095981057382751,0.3711217525777396
0.1,1.2593318767106518,0.30890001523428223,-0.07738385991278392,-0.01849935329545146,0.48400470799931133
0.11,1.4233968286435899,0.3825067719692778,-0.04476785665536234,0.023768931824273535,0.6139100496969906
0.12,1.59286315081116,0.46204082496943183,-0.0039733972829860175,0.0772614772134965,0.7619327665794396
0.13,1.7678535748338855,0.5433351530602036,0.04031249292833492,0.1390771765887275,0.9273464368338645
0.14,1.9487942110693734,0.6254445233921553,0.08815484514959604,0.2100904534999515,1.1110148606524497
0.15,2.135442886959633,0.7055269147529812,0.136660347561416,0.2879603694134847,1.3110415415562173
0.16,2.3296540401249786,0.7813187137059996,0.1819707902064478,0.37081047706194925,1.5276716110527453
0.17,2.5264873083955597,0.8540637376959859,0.2281872872929522,0.4623705807115825,1.7625546257435427
0.18,2.7298085264812064,0.9135914348249633,0.25993904438797866,0.549102428953868,2.010578689342812
0.19,2.935063838031464,0.9534654666834451,0.27232918616072865,0.6282401485987925,2.270200742512597
0.2,3.137658626115403,0.9680686673406644,0.26157587303078345,0.6983673246866307,2.5381436844073693
0.21,3.3524434940134245,0.9815786958102465,0.25586723739587697,0.7845670712477196,2.831308282582725
0.22,3.5680264674825226,0.981344408222926,0.24421446721569573,0.8791050132389341,3.1445594052442476
0.23,3.7952160391358327,0.9820022799514253,0.2399639493466016,0.9890851225622469,3.477949096588096
0.24,4.0227206730757326,0.9715345953312297,0.23270994392468647,1.1087284075103543,3.829445397110418
0.25,4.231712239356817,0.9288872906462657,0.2018173318433061,1.2203774516076902,4.188572771345662
0.26,4.4490082077752975,0.897964350647218,0.19518070513350982,1.363035574524118,4.575221812817179
0.27,4.645085054314054,0.8501455279266202,0.19390473408315215,1.5272911965030642,4.9841427981299855
0.28,4.832551127853131,0.7964841069024442,0.2041936947637638,1.715160057470285,5.414713056056047
