video,frame,timestamp,x_cm,y_cm,robot_yaw,interpolated
Camo 录像 2026-01-27 03-31-18,0,0.0,61.0,61.0,90.0,0
Camo 录像 2026-01-27 03-31-18,1,0.03333333333333333,61.020054,60.973446,89.85000000000002,0
Camo 录像 2026-01-27 03-31-18,2,0.06666666666666667,61.044727,60.96258,89.94,0
Camo 录像 2026-01-27 03-31-18,3,0.1,61.0372,60.964462,89.68,0
Camo 录像 2026-01-27 03-31-18,4,0.13333333333333333,60.986435,60.96836,89.30000000000001,0
Camo 录像 2026-01-27 03-31-18,5,0.16666666666666666,60.90791,60.98247,88.13999999999999,0
Camo 录像 2026-01-27 03-31-18,6,0.2,60.80815,60.972584,87.70999999999998,0
Camo 录像 2026-01-27 03-31-18,7,0.23333333333333334,60.62711,61.003338,87.22000000000003,0
Camo 录像 2026-01-27 03-31-18,8,0.26666666666666666,60.40194,60.98752,85.86000000000001,0
Camo 录像 2026-01-27 03-31-18,9,0.3,60.214756,60.912384,85.75999999999999,0
Camo 录像 2026-01-27 03-31-18,10,0.3333333333333333,59.96205,60.876205,85.15999999999997,0
Camo 录像 2026-01-27 03-31-18,11,0.36666666666666664,59.706398,60.83639,84.87,0
Camo 录像 2026-01-27 03-31-18,12,0.4,59.480476,60.75469,84.78999999999996,0
Camo 录像 2026-01-27 03-31-18,13,0.43333333333333335,59.269917,60.698772,85.35000000000002,0
Camo 录像 2026-01-27 03-31-18,14,0.4666666666666667,59.129547,60.613323,86.5,0
Camo 录像 2026-01-27 03-31-18,15,0.5,58.97663,60.58477,87.57999999999998,0
Camo 录像 2026-01-27 03-31-18,16,0.5333333333333333,58.96468,60.472145,89.32999999999998,0
Camo 录像 2026-01-27 03-31-18,17,0.5666666666666667,58.968586,60.443672,91.28999999999996,0
Camo 录像 2026-01-27 03-31-18,18,0.6,59.07345,60.400192,94.10000000000002,0
Camo 录像 2026-01-27 03-31-18,19,0.6333333333333333,59.22419,60.459393,97.19999999999999,0
Camo 录像 2026-01-27 03-31-18,20,0.6666666666666666,59.390892,60.58989,99.49000000000001,0
Camo 录像 2026-01-27 03-31-18,21,0.7,59.765537,60.754658,103.19,0
Camo 录像 2026-01-27 03-31-18,22,0.7333333333333333,60.20386,61.040638,107.19,0
Camo 录像 2026-01-27 03-31-18,23,0.7666666666666667,60.72714,61.382797,111.32999999999998,0
Camo 录像 2026-01-27 03-31-18,24,0.8,61.324318,61.74418,115.61000000000001,0
Camo 录像 2026-01-27 03-31-18,25,0.8333333333333334,61.960785,62.10208,119.0,0
Camo 录像 2026-01-27 03-31-18,26,0.8666666666666667,62.61989,62.45407,122.62,0
Camo 录像 2026-01-27 03-31-18,27,0.9,63.220642,62.824944,125.54000000000002,0
Camo 录像 2026-01-27 03-31-18,28,0.9333333333333333,63.84861,63.168423,128.45999999999998,0
Camo 录像 2026-01-27 03-31-18,29,0.9666666666666667,64.51129,63.485622,130.07999999999998,0
Camo 录像 2026-01-27 03-31-18,30,1.0,65.09662,63.815628,131.07,0
Camo 录像 2026-01-27 03-31-18,31,1.0333333333333334,65.652275,64.154205,131.74,0
Camo 录像 2026-01-27 03-31-18,32,1.0666666666666667,66.19372,64.48308,132.11,0
Camo 录像 2026-01-27 03-31-18,33,1.1,66.689896,64.79698,131.77999999999997,0
Camo 录像 2026-01-27 03-31-18,34,1.1333333333333333,67.25428,65.079575,131.42000000000002,0
Camo 录像 2026-01-27 03-31-18,35,1.1666666666666667,67.58351,65.38815,130.45,0
Camo 录像 2026-01-27 03-31-18,36,1.2,67.97884,65.71939,129.61,0
Camo 录像 2026-01-27 03-31-18,37,1.2333333333333334,68.37331,66.091225,128.06,0
Camo 录像 2026-01-27 03-31-18,38,1.2666666666666666,68.66401,66.50382,126.15999999999997,0
Camo 录像 2026-01-27 03-31-18,39,1.3,68.938065,66.91473,123.03999999999996,0
Camo 录像 2026-01-27 03-31-18,40,1.3333333333333333,69.04765,67.3705,120.98000000000002,0
Camo 录像 2026-01-27 03-31-18,41,1.3666666666666667,69.2512,67.82451,117.37,0
Camo 录像 2026-01-27 03-31-18,42,1.4,69.34918,68.3238,114.42000000000002,0
Camo 录像 2026-01-27 03-31-18,43,1.4333333333333333,69.37108,68.86613,111.69,0
Camo 录像 2026-01-27 03-31-18,44,1.4666666666666666,69.25062,69.43624,107.50999999999999,0
Camo 录像 2026-01-27 03-31-18,45,1.5,69.24664,70.05814,103.63,0
Camo 录像 2026-01-27 03-31-18,46,1.5333333333333334,69.16948,70.70157,100.03999999999996,0
Camo 录像 2026-01-27 03-31-18,47,1.5666666666666667,69.01017,71.3486,95.78999999999996,0
Camo 录像 2026-01-27 03-31-18,48,1.6,68.915955,72.04524,91.75999999999999,0
Camo 录像 2026-01-27 03-31-18,49,1.6333333333333333,68.601364,72.65988,87.5,0
Camo 录像 2026-01-27 03-31-18,50,1.6666666666666667,68.49969,73.312614,84.07999999999998,0
Camo 录像 2026-01-27 03-31-18,51,1.7,68.269264,73.92431,80.75,0
Camo 录像 2026-01-27 03-31-18,52,1.7333333333333334,68.02718,74.52085,77.70999999999998,0
Camo 录像 2026-01-27 03-31-18,53,1.7666666666666666,67.710785,75.057434,74.16,0
Camo 录像 2026-01-27 03-31-18,54,1.8,67.37537,75.56877,71.20999999999998,0
Camo 录像 2026-01-27 03-31-18,55,1.8333333333333333,67.0953,76.10765,69.13999999999999,0
Camo 录像 2026-01-27 03-31-18,56,1.8666666666666667,66.70101,76.58838,66.94999999999999,0
Camo 录像 2026-01-27 03-31-18,57,1.9,66.34292,77.07911,65.05000000000001,0
Camo 录像 2026-01-27 03-31-18,58,1.9333333333333333,65.91029,77.51139,62.849999999999994,0
Camo 录像 2026-01-27 03-31-18,59,1.9666666666666666,65.53671,77.98795,62.31,0
Camo 录像 2026-01-27 03-31-18,60,2.0,65.182205,78.47558,61.170000000000016,0
Camo 录像 2026-01-27 03-31-18,61,2.033333333333333,64.75081,78.87293,60.44,0
Camo 录像 2026-01-27 03-31-18,62,2.066666666666667,64.37649,79.37698,61.19999999999999,0
Camo 录像 2026-01-27 03-31-18,63,2.1,63.989227,79.82736,61.53,0
Camo 录像 2026-01-27 03-31-18,64,2.1333333333333333,63.627884,80.23831,62.31,0
Camo 录像 2026-01-27 03-31-18,65,2.1666666666666665,63.32441,80.72884,62.22999999999999,0
Camo 录像 2026-01-27 03-31-18,66,2.2,63.03183,81.20714,63.47999999999999,0
Camo 录像 2026-01-27 03-31-18,67,2.2333333333333334,62.729645,81.523834,64.78999999999999,0
Camo 录像 2026-01-27 03-31-18,68,2.2666666666666666,62.60279,82.11657,67.6,0
